development_projects_id,raw_id,name,site_name,action,scen0,scen3,scen1,scen2,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price
1802,,One South Market Apts,,,1,1,1,1,SW/c Market & Santa Clara,San Jose,,Santa Clara,-121.8921343,37.33488771,9.59E+12,2013,,,,,,312,,,,,,,,,,
1803,,Century Center Mixed Use,,,1,1,1,1,SW/c N. 1st & Century Center,San Jose,,Santa Clara,-121.9151777,37.36797331,1.49E+13,2014,,,,,,378,,,,,,,,,,
1804,,North First Campus,,,1,1,1,1,SW/c N. 1st & Component,San Jose,,Santa Clara,-121.9279871,37.38061408,1.71E+13,2012,,,,,2350000,,,,,,,,,,,
1805,,A-1 Self Storage,,,1,1,1,1,SW/c Phelan & Senter,San Jose,,Santa Clara,-121.8590419,37.31734389,5.11E+12,2013,,,,,107000,,,,,,,,,,,
1806,,SuperMicro,,,1,1,1,1,SW/c Ridder Park & Schallenberger,San Jose,,Santa Clara,-121.9004327,37.37634437,1.70E+13,2014,,,,,182000,,,,,,,,,,,
1807,,Cottages at Mirassou,,,1,1,1,1,SW/c Ruby & Aborn,San Jose,,Santa Clara,-121.7767427,37.31515772,7.89E+12,2011,,,,,,104,,,,,,,,,,
1808,,Public Storage,,,1,1,1,1,SW/c Tully & Old Tully,San Jose,,Santa Clara,-121.8564211,37.30295544,1.09E+13,2012,,,,,115000,,,,,,,,,,,
1809,,Orchard Supply Hardware,,,1,1,1,1,SW/c W. San Carlos & Royal,San Jose,,Santa Clara,-121.9013667,37.32325365,1.37E+13,2013,,,,,49000,,,,,,,,,,,
1810,,Silvery Towers Apts,,,1,1,1,1,SW/c W. St. James & N. San Pedro,San Jose,,Santa Clara,-121.8952019,37.33767968,1.32E+13,2014,,,,,,643,,,,,,,,,,
1811,,Peery Arrillaga,,,1,1,1,1,W/ Bering between E Brokaw & Crane,San Jose,,Santa Clara,-121.9130477,37.37197522,9.27E+12,2014,,,,,1949000,,,,,,,,,,,
1812,,The Plaza at Evergreen,,,1,1,1,1,"W/s Capitol, 1500' sly Quimby",San Jose,,Santa Clara,-121.8104984,37.31985924,1.62E+13,2014,,,,,200000,,,,,,,,,,,
1813,,Brookside Homes,,,1,1,1,1,"W/s Guadalupe Mines, 2000' sly Camden",San Jose,,Santa Clara,-121.9068593,37.22086564,2.69E+12,2011,,,,,,89,,,,,,,,,,
1814,,Verona at Montecito Vista,,,1,1,1,1,"W/s Monterey, 300' sly Umbarger",San Jose,,Santa Clara,-121.8532489,37.29161165,1.07E+13,2012,,,,,,277,,,,,,,,,,
1815,,North Tenth Street Apts,,,1,1,1,1,"W/s N. 10th, bet Vestal & E. Mission",San Jose,,Santa Clara,-121.8931837,37.35607481,5.55E+12,2013,,,,,,166,,,,,,,,,,
1816,,Domain Apts,,,1,1,1,1,"W/s N. 1st, both sides Vista Montana",San Jose,,Santa Clara,-121.9571909,37.41276491,1.11E+13,2011,,,,,,444,,,,,,,,,,
1817,,Japantown Senior Apts,,,1,1,1,1,"W/s N. 6th, 200' sly E. Taylor",San Jose,,Santa Clara,-121.8946762,37.35083397,7.63E+12,2010,,,,,,85,,,,,,,,,,
1818,,Silicon Valley Industrial Center,,,1,1,1,1,"W/s Piercy, 2070' nly Silicon Valley",San Jose,,Santa Clara,-121.7753092,37.25601009,6.31E+12,2014,,,,,243000,,,,,,,,,,,
1819,,Vicino Townhomes,,,1,1,1,1,"W/s S. Monroe, 450' nly Hwy 280",San Jose,,Santa Clara,-121.9447868,37.31885002,8.49E+12,2011,,,,,,104,,,,,,,,,,
1820,,Oakmont of San Jose,,,1,1,1,1,"W/s Thorton, 260' nly Maywood",San Jose,,Santa Clara,-121.9399744,37.31034822,1.24E+13,2014,,,,,60000,,,,,,,,,,,
1821,,101 Tech,,,1,1,1,1,"Wly term. Atmel, 200' nly Hwy 101",San Jose,,Santa Clara,-121.9308979,37.37628365,6.26E+12,2012,,,,,666000,,,,,,,,,,,
