zone_id,base_income_quartile,tenure,rate
55,1,rent,1.0
55,2,rent,1.0
55,3,rent,1.0
55,4,rent,1.0
56,1,own,0.75
56,2,own,0.75
56,3,own,0.75
56,4,own,0.75
56,1,rent,1.0
56,2,rent,1.0
56,3,rent,1.0
56,4,rent,1.0
57,1,own,0.75
57,2,own,0.75
57,3,own,0.75
57,4,own,0.75
57,1,rent,1.0
57,2,rent,1.0
57,3,rent,1.0
57,4,rent,1.0
58,1,own,0.75
58,2,own,0.75
58,3,own,0.75
58,4,own,0.75
58,1,rent,1.0
58,2,rent,1.0
58,3,rent,1.0
58,4,rent,1.0
59,1,own,0.75
59,2,own,0.75
59,3,own,0.75
59,4,own,0.75
59,1,rent,1.0
59,2,rent,1.0
59,3,rent,1.0
59,4,rent,1.0
60,1,own,0.75
60,2,own,0.75
60,3,own,0.75
60,4,own,0.75
60,1,rent,1.0
60,2,rent,1.0
60,3,rent,1.0
60,4,rent,1.0
61,1,own,0.75
61,2,own,0.75
61,3,own,0.75
61,4,own,0.75
61,1,rent,1.0
61,2,rent,1.0
61,3,rent,1.0
61,4,rent,1.0
62,1,own,0.75
62,2,own,0.75
62,3,own,0.75
62,4,own,0.75
62,1,rent,1.0
62,2,rent,1.0
62,3,rent,1.0
62,4,rent,1.0
63,1,own,0.75
63,2,own,0.75
63,3,own,0.75
63,4,own,0.75
63,1,rent,1.0
63,2,rent,1.0
63,3,rent,1.0
63,4,rent,1.0
64,1,own,0.75
64,2,own,0.75
64,3,own,0.75
64,4,own,0.75
64,1,rent,1.0
64,2,rent,1.0
64,3,rent,1.0
64,4,rent,1.0
65,1,own,0.75
65,2,own,0.75
65,3,own,0.75
65,4,own,0.75
65,1,rent,1.0
65,2,rent,1.0
65,3,rent,1.0
65,4,rent,1.0
66,1,own,0.75
66,2,own,0.75
66,3,own,0.75
66,4,own,0.75
66,1,rent,1.0
66,2,rent,1.0
66,3,rent,1.0
66,4,rent,1.0
67,1,own,0.75
67,2,own,0.75
67,3,own,0.75
67,4,own,0.75
67,1,rent,1.0
67,2,rent,1.0
67,3,rent,1.0
67,4,rent,1.0
68,1,own,0.75
68,2,own,0.75
68,3,own,0.75
68,4,own,0.75
68,1,rent,1.0
68,2,rent,1.0
68,3,rent,1.0
68,4,rent,1.0
69,1,own,0.75
69,2,own,0.75
69,3,own,0.75
69,4,own,0.75
69,1,rent,1.0
69,2,rent,1.0
69,3,rent,1.0
69,4,rent,1.0
70,1,own,0.75
70,2,own,0.75
70,3,own,0.75
70,4,own,0.75
70,1,rent,1.0
70,2,rent,1.0
70,3,rent,1.0
70,4,rent,1.0
71,1,own,0.75
71,2,own,0.75
71,3,own,0.75
71,4,own,0.75
71,1,rent,1.0
71,2,rent,1.0
71,3,rent,1.0
71,4,rent,1.0
72,1,own,0.75
72,2,own,0.75
72,3,own,0.75
72,4,own,0.75
72,1,rent,1.0
72,2,rent,1.0
72,3,rent,1.0
72,4,rent,1.0
73,1,own,0.75
73,2,own,0.75
73,3,own,0.75
73,4,own,0.75
73,1,rent,1.0
73,2,rent,1.0
73,3,rent,1.0
73,4,rent,1.0
74,1,own,0.75
74,2,own,0.75
74,3,own,0.75
74,4,own,0.75
74,1,rent,1.0
74,2,rent,1.0
74,3,rent,1.0
74,4,rent,1.0
75,1,own,0.75
75,2,own,0.75
75,3,own,0.75
75,4,own,0.75
75,1,rent,1.0
75,2,rent,1.0
75,3,rent,1.0
75,4,rent,1.0
76,1,own,0.75
76,2,own,0.75
76,3,own,0.75
76,4,own,0.75
76,1,rent,1.0
76,2,rent,1.0
76,3,rent,1.0
76,4,rent,1.0
77,1,own,0.75
77,2,own,0.75
77,3,own,0.75
77,4,own,0.75
77,1,rent,1.0
77,2,rent,1.0
77,3,rent,1.0
77,4,rent,1.0
78,1,own,0.75
78,2,own,0.75
78,3,own,0.75
78,4,own,0.75
78,1,rent,1.0
78,2,rent,1.0
78,3,rent,1.0
78,4,rent,1.0
79,1,own,0.75
79,2,own,0.75
79,3,own,0.75
79,4,own,0.75
79,1,rent,1.0
79,2,rent,1.0
79,3,rent,1.0
79,4,rent,1.0
80,1,own,0.75
80,2,own,0.75
80,3,own,0.75
80,4,own,0.75
80,1,rent,1.0
80,2,rent,1.0
80,3,rent,1.0
80,4,rent,1.0
81,1,own,0.75
81,2,own,0.75
81,3,own,0.75
81,4,own,0.75
81,1,rent,1.0
81,2,rent,1.0
81,3,rent,1.0
81,4,rent,1.0
82,1,own,0.75
82,2,own,0.75
82,3,own,0.75
82,4,own,0.75
82,1,rent,1.0
82,2,rent,1.0
82,3,rent,1.0
82,4,rent,1.0
83,1,own,0.75
83,2,own,0.75
83,3,own,0.75
83,4,own,0.75
83,1,rent,1.0
83,2,rent,1.0
83,3,rent,1.0
83,4,rent,1.0
84,1,own,0.75
84,2,own,0.75
84,3,own,0.75
84,4,own,0.75
84,1,rent,1.0
84,2,rent,1.0
84,3,rent,1.0
84,4,rent,1.0
85,1,own,0.75
85,2,own,0.75
85,3,own,0.75
85,4,own,0.75
85,1,rent,1.0
85,2,rent,1.0
85,3,rent,1.0
85,4,rent,1.0
86,1,own,0.75
86,2,own,0.75
86,3,own,0.75
86,4,own,0.75
86,1,rent,1.0
86,2,rent,1.0
86,3,rent,1.0
86,4,rent,1.0
87,1,own,0.75
87,2,own,0.75
87,3,own,0.75
87,4,own,0.75
87,1,rent,1.0
87,2,rent,1.0
87,3,rent,1.0
87,4,rent,1.0
88,1,own,0.75
88,2,own,0.75
88,3,own,0.75
88,4,own,0.75
88,1,rent,1.0
88,2,rent,1.0
88,3,rent,1.0
88,4,rent,1.0
89,1,own,0.75
89,2,own,0.75
89,3,own,0.75
89,4,own,0.75
89,1,rent,1.0
89,2,rent,1.0
89,3,rent,1.0
89,4,rent,1.0
90,1,own,0.75
90,2,own,0.75
90,3,own,0.75
90,4,own,0.75
90,1,rent,1.0
90,2,rent,1.0
90,3,rent,1.0
90,4,rent,1.0
91,1,own,0.75
91,2,own,0.75
91,3,own,0.75
91,4,own,0.75
91,1,rent,1.0
91,2,rent,1.0
91,3,rent,1.0
91,4,rent,1.0
92,1,own,0.75
92,2,own,0.75
92,3,own,0.75
92,4,own,0.75
92,1,rent,1.0
92,2,rent,1.0
92,3,rent,1.0
92,4,rent,1.0
93,1,own,0.75
93,2,own,0.75
93,3,own,0.75
93,4,own,0.75
93,1,rent,1.0
93,2,rent,1.0
93,3,rent,1.0
93,4,rent,1.0
94,1,own,0.75
94,2,own,0.75
94,3,own,0.75
94,4,own,0.75
94,1,rent,1.0
94,2,rent,1.0
94,3,rent,1.0
94,4,rent,1.0
95,1,own,0.75
95,2,own,0.75
95,3,own,0.75
95,4,own,0.75
95,1,rent,1.0
95,2,rent,1.0
95,3,rent,1.0
95,4,rent,1.0
96,1,own,0.75
96,2,own,0.75
96,3,own,0.75
96,4,own,0.75
96,1,rent,1.0
96,2,rent,1.0
96,3,rent,1.0
96,4,rent,1.0
97,1,own,0.75
97,2,own,0.75
97,3,own,0.75
97,4,own,0.75
97,1,rent,1.0
97,2,rent,1.0
97,3,rent,1.0
97,4,rent,1.0
98,1,own,0.75
98,2,own,0.75
98,3,own,0.75
98,4,own,0.75
98,1,rent,1.0
98,2,rent,1.0
98,3,rent,1.0
98,4,rent,1.0
99,1,own,0.75
99,2,own,0.75
99,3,own,0.75
99,4,own,0.75
99,1,rent,1.0
99,2,rent,1.0
99,3,rent,1.0
99,4,rent,1.0
100,1,own,0.75
100,2,own,0.75
100,3,own,0.75
100,4,own,0.75
100,1,rent,1.0
100,2,rent,1.0
100,3,rent,1.0
100,4,rent,1.0
101,1,own,0.75
101,2,own,0.75
101,3,own,0.75
101,4,own,0.75
101,1,rent,1.0
101,2,rent,1.0
101,3,rent,1.0
101,4,rent,1.0
102,1,own,0.75
102,2,own,0.75
102,3,own,0.75
102,4,own,0.75
102,1,rent,1.0
102,2,rent,1.0
102,3,rent,1.0
102,4,rent,1.0
103,1,own,0.75
103,2,own,0.75
103,3,own,0.75
103,4,own,0.75
103,1,rent,1.0
103,2,rent,1.0
103,3,rent,1.0
103,4,rent,1.0
104,1,own,0.75
104,2,own,0.75
104,3,own,0.75
104,4,own,0.75
104,1,rent,1.0
104,2,rent,1.0
104,3,rent,1.0
104,4,rent,1.0
105,1,own,0.75
105,2,own,0.75
105,3,own,0.75
105,4,own,0.75
105,1,rent,1.0
105,2,rent,1.0
105,3,rent,1.0
105,4,rent,1.0
106,1,own,0.75
106,2,own,0.75
106,3,own,0.75
106,4,own,0.75
106,1,rent,1.0
106,2,rent,1.0
106,3,rent,1.0
106,4,rent,1.0
107,1,own,0.75
107,2,own,0.75
107,3,own,0.75
107,4,own,0.75
107,1,rent,1.0
107,2,rent,1.0
107,3,rent,1.0
107,4,rent,1.0
108,1,own,0.75
108,2,own,0.75
108,3,own,0.75
108,4,own,0.75
108,1,rent,1.0
108,2,rent,1.0
108,3,rent,1.0
108,4,rent,1.0
109,1,own,0.75
109,2,own,0.75
109,3,own,0.75
109,4,own,0.75
109,1,rent,1.0
109,2,rent,1.0
109,3,rent,1.0
109,4,rent,1.0
110,1,own,0.75
110,2,own,0.75
110,3,own,0.75
110,4,own,0.75
110,1,rent,1.0
110,2,rent,1.0
110,3,rent,1.0
110,4,rent,1.0
111,1,own,0.75
111,2,own,0.75
111,3,own,0.75
111,4,own,0.75
111,1,rent,1.0
111,2,rent,1.0
111,3,rent,1.0
111,4,rent,1.0
112,1,own,0.75
112,2,own,0.75
112,3,own,0.75
112,4,own,0.75
112,1,rent,1.0
112,2,rent,1.0
