fbpzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,job_out_cat
santa_claraNAtra2bNANAinNA,1897,5,10.00207358,85,416,santa_clara,NA,tra2b,NA,NA,in,NA,,,,,,,,,,
santa_claraNAtra2cHRADISNAinNA,1898,92,27.24238039,85,465,santa_clara,NA,tra2c,HRADIS,NA,in,NA,,,,,,,,,,
santa_claraNAtra2cHRADISNAinsfd,1899,164,24.73286414,85,465,santa_clara,NA,tra2c,HRADIS,NA,in,sfd,,,,,,,,,,
santa_claraNAtra2cHRADISNAoutsfd,1900,1,0.262354214,85,416,santa_clara,NA,tra2c,HRADIS,NA,out,sfd,,,,,,,,,,
santa_claraNAtra2cHRANAinNA,1901,70,28.29397244,85,460,santa_clara,NA,tra2c,HRA,NA,in,NA,,,,,,,,,,
santa_claraNAtra2cHRANAinsfd,1902,359,59.3017257,85,460,santa_clara,NA,tra2c,HRA,NA,in,sfd,,,,,,,,,,
santa_claraNAtra2cNANAinNA,1903,10,70.46232812,85,416,santa_clara,NA,tra2c,NA,NA,in,NA,,,,,,,,,,
santa_claraNAtra2cNANAoutNA,1904,2,12.74703737,85,416,santa_clara,NA,tra2c,NA,NA,out,NA,,,,,,,,,,
santa_claraNAtra3DISNAinNA,1905,1269,495.9994008,85,438,santa_clara,NA,tra3,DIS,NA,in,NA,,,,,,,,,,
santa_claraNAtra3DISNAinsfd,1906,2394,351.4501656,85,444,santa_clara,NA,tra3,DIS,NA,in,sfd,,,,,,,,,,
santa_claraNAtra3HRADISNAinNA,1907,818,316.0593585,85,464,santa_clara,NA,tra3,HRADIS,NA,in,NA,,,,,,,,,,
santa_claraNAtra3HRADISNAinsfd,1908,1341,206.1635326,85,465,santa_clara,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
santa_claraNAtra3HRANAinNA,1909,838,276.5445324,85,413,santa_clara,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
