"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
9,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,935,660,775
9,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,813,391,589
9,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,87,42,53
10,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1247,375,679
10,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,48,23,39
10,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,540,151,263
10,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,250,141,175
10,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,48,34,43
10,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,159,57,87
10,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,481,454,471
10,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,459,315,403
10,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,146,125,134
10,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,477,471,471
10,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,208,205,205
10,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,171,160,160
11,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1272,571,785
11,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,348,162,294
11,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,432,176,204
11,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,560,430,516
11,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,239,150,207
11,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,123,100,109
11,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,282,203,244
11,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,392,199,304
11,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,87,61,77
11,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,265,229,244
11,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,180,146,157
11,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,55,50,52
12,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,106,15,33
12,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,12,4,8
12,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,43,2,11
12,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,244,230,238
12,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,41,41,41
12,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,85,77,84
12,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,459,450,450
12,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,114,114,114
12,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,110,100,100
13,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,2,0,0
13,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,1,1,1
13,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,2,2,2
13,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,2,2,2
