taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
     470,        10.1475,        12.5763,        10.2366,        12.6914,         3.6530,         5.8222,         3.7359,         6.0333,         5.2475,         7.5357
     471,        10.1749,        12.6315,        10.2645,        12.7456,         4.5330,         6.7827,         4.4716,         6.6937,         5.3516,         6.8365
     472,        10.0942,        12.5167,        10.1952,        12.6440,         3.5012,         5.5216,         3.4674,         5.6268,         3.7837,         6.9067
     473,        10.0792,        12.5017,        10.1677,        12.6169,         2.9231,         4.9262,         2.7662,         4.9518,         5.0479,         7.0937
     474,        10.0039,        12.3934,        10.0915,        12.5097,         2.7914,         4.5398,         2.3711,         4.1777,         5.1729,         6.1633
     475,         9.9818,        12.3632,        10.0663,        12.4753,         2.9607,         5.0554,         2.1728,         4.2746,         6.1055,         7.1456
     476,        10.0494,        12.4671,        10.1382,        12.5831,         3.1717,         5.2718,         3.1857,         5.4495,         5.2712,         6.9238
     477,        10.1231,        12.5545,        10.2160,        12.6729,         3.6429,         5.6826,         3.1898,         5.3874,         3.6752,         5.5105
     478,        10.1120,        12.5415,        10.2071,        12.6595,         3.8424,         6.0065,         3.5201,         5.6436,         5.9764,         7.0240
     479,         9.9897,        12.4176,        10.0964,        12.5520,         2.9104,         4.9609,         3.1638,         5.2377,         3.9780,         7.0440
     480,         9.8727,        12.2852,         9.9754,        12.4183,         2.2860,         4.3402,         2.6510,         4.7582,         3.5309,         5.6627
     481,         9.9468,        12.3702,        10.0490,        12.5012,         2.5779,         4.6759,         2.8891,         5.0395,         4.3190,         6.4042
     482,         9.9247,        12.3413,        10.0367,        12.4878,         2.7272,         4.7226,         3.0575,         5.1502,         4.0376,         6.4751
     483,         9.8562,        12.2761,         9.9512,        12.4003,         1.9796,         3.8599,         2.4588,         4.5297,         4.7756,         7.2892
     484,         9.9975,        12.4317,        10.0832,        12.5423,         3.3396,         5.2653,         3.4359,         5.3740,         5.1453,         8.1293
     485,         9.9905,        12.4363,        10.0699,        12.5372,         3.3472,         5.3415,         3.3372,         5.3044,         5.4913,         8.0468
     486,         9.9671,        12.4155,        10.0575,        12.5292,         3.9166,         5.9594,         3.9373,         5.9597,         5.5845,         7.1388
     487,         9.9739,        12.4315,        10.0745,        12.5601,         1.3020,         3.1167,         1.3517,         3.2040,         4.6218,         6.4231
     488,         9.9283,        12.3968,        10.0302,        12.5266,         2.1126,         4.1005,         2.1308,         4.1151,         1.8557,         5.4720
     489,         9.6522,        12.0763,         9.7581,        12.2097,              0,              0,              0,              0,         3.0911,         6.3399
     490,         9.9810,        12.4220,        10.0821,        12.5535,         4.5705,         6.5280,         4.6220,         6.5675,         5.6612,         7.2862
     491,         9.9218,        12.3466,        10.0188,        12.4717,         3.8938,         5.9266,         4.0879,         6.1378,         5.1620,         7.1658
     492,         9.7472,        12.1505,         9.8852,        12.3281,         0.0572,         0.3410,         0.0584,         0.3486,         4.0947,         6.2827
     493,         9.8069,        12.2038,         9.9056,        12.3323,         1.4871,         3.4548,         1.4767,         3.4282,         3.1223,         5.9250
     494,         9.7820,        12.1603,         9.8878,        12.2978,         0.7833,         2.5843,         0.0419,         0.3042,         3.7713,         6.0387
     495,         9.4754,        11.8763,         9.5916,        12.0289,              0,              0,              0,              0,         1.5869,         5.0869
     496,         9.4205,        11.8044,         9.5257,        11.9398,              0,              0,              0,              0,         2.1217,         5.0788
     497,         9.6111,        11.9918,         9.7934,        12.2078,         1.5567,         3.3253,         0.7394,         2.2324,         2.6317,         6.5222
     498,         9.9903,        12.3766,        10.0968,        12.5121,         2.2125,         4.1343,         1.5421,         3.3901,         3.4135,         6.1571
     499,         9.8819,        12.2587,         9.9966,        12.4061,         2.3282,         4.4255,         2.3347,         4.3941,         5.0355,         6.4724
     500,         9.8364,        12.2129,         9.9415,        12.3488,         1.7422,         4.1545,         1.4715,         3.5867,         4.1698,         5.5499
