development_projects_id,raw_id,building_name,site_name,action,scen0,scen3,scen1,scen2,scen4,scen5,address,city,zip,county,x,y,geom_id,year_built,duration,building_type_id,building_type,building_sqft,non_residential_sqft,residential_units,unit_ave_sqft,tenure,rent_type,stories,parking_spaces,Average Weighted Rent,rent_ave_sqft,rent_ave_unit,last_sale_year,last_sale_price,source,apn
2073,10183,0,,build,1,1,1,1,1,1,1846 Meda Ave,Santa Rosa,,Sonoma,-122.6966185,38.42063786,11184756954373,2015,,,HT,78000.0,0.0,65.0,,,,,,,,,,,ABAG,Santa Rosa-044-032-004
2074,10184,0,,build,1,1,1,1,1,1,1865 Meda Ave,Santa Rosa,,Sonoma,-122.6986491,38.42062579,17054677822157,2015,,,HM,36000.0,0.0,30.0,,,,,,,,,,,ABAG,Santa Rosa-044-031-046
2075,10185,0,,build,1,1,1,1,1,1,2875 Dutton Meadow,Santa Rosa,,Sonoma,-122.7307416,38.40676158,12913297249815,2015,,,HM,115200.0,0.0,96.0,,,,,,,,,,,ABAG,Santa Rosa-043-111-006
2076,10186,0,,build,0,0,0,0,0,0,385 West 9th St,Santa Rosa,,Sonoma,-122.7295533,38.4419724,6054217634090,2015,,,IL,6835.0,6835.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-010-431-024
2077,10187,0,,build,1,1,1,1,1,1,1820 Meda Ave,Santa Rosa,,Sonoma,-122.6966219,38.42169395,5215907379022,2015,,,HS,36000.0,0.0,30.0,,,,,,,,,,,ABAG,Santa Rosa-044-032-005
2078,10188,0,,build,1,1,1,1,1,1,2853 Dutton Meadow,Santa Rosa,,Sonoma,-122.7307535,38.4076275,12163619627526,2015,,,HS,98400.0,0.0,82.0,,,,,,,,,,,ABAG,Santa Rosa-043-111-005
2079,10189,0,,build,1,1,1,1,1,1,533 Bellevue Ave,Santa Rosa,,Sonoma,-122.7307862,38.40261952,1592824481113,2015,,,HS,57600.0,0.0,48.0,,,,,,,,,,,ABAG,Santa Rosa-043-121-007
2080,10190,0,,build,1,1,1,1,1,1,3 West Third St,Santa Rosa,,Sonoma,-122.7224114,38.4361381,16119044180687,2015,,,HS,111600.0,0.0,93.0,,,,,,,,,,,ABAG,Santa Rosa-010-171-018
2081,10191,0,,build,0,0,0,0,0,0,3410 Industrial Dr,Santa Rosa,,Sonoma,-122.7394926,38.47650419,12893697632539,2015,,,IL,10025.0,10025.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-015-650-042
2082,10192,0,,build,0,0,0,0,0,0,3300 Industrial Dr,Santa Rosa,,Sonoma,-122.7397011,38.47425501,1058624910911,2015,,,IL,25558.0,25558.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-015-670-038
2083,10193,0,,build,1,1,1,1,1,1,2727 Dutton Meadow,Santa Rosa,,Sonoma,-122.7306654,38.41059708,9957708751186,2015,,,HS,62400.0,0.0,52.0,,,,,,,,,,,ABAG,Santa Rosa-043-072-018-2
2084,10194,0,,build,0,0,0,0,0,0,440 Dutton Ave,Santa Rosa,,Sonoma,-122.7249402,38.43138816,8157395587026,2015,,,RS,12000.0,12000.0,0.0,,,,,,,,,,,ABAG,Santa Rosa-125-121-021
2085,10195,0,,build,1,1,1,1,1,1,1020 Jennings Ave,Santa Rosa,,Sonoma,-122.7296583,38.452508,10072674231745,2015,,,HM,324000.0,0.0,270.0,,,,,,,,,,,ABAG,Santa Rosa-041-161-031
2086,10196,0,,build,1,1,1,1,1,1,2903 Dutton Meadow,Santa Rosa,,Sonoma,-122.7307448,38.40586893,13021142807975,2015,,,HS,36000.0,0.0,30.0,,,,,,,,,,,ABAG,Santa Rosa-043-111-007
2087,10197,0,,build,1,1,1,1,1,1,1801 Ridley Ave,Santa Rosa,,Sonoma,-122.7468006,38.45402936,16111652051842,2015,,,HT,42000.0,0.0,35.0,,,,,,,,,,,ABAG,Santa Rosa-036-091-051
2088,10198,0,,build,1,1,1,1,1,1,4607  4617 Sonoma Hwy,Santa Rosa,,Sonoma,-122.6729557,38.46020071,10308201282415,2015,,,HT,38400.0,0.0,32.0,,,,,,,,,,,ABAG,Santa Rosa-182-510-035
