juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Pittsburg,19580.0,61296.0,4643.0,3861.0,5665.0,5411.0,15555.0,5756.0,12324.0,24.0,1923.0,1842.0,1489.0,3807.0,3239.0,0.629379620701,10816999.0,877.718192145
Orinda,6481.0,16412.0,446.0,525.0,905.0,4605.0,6416.0,307.0,4643.0,35.0,248.0,399.0,1846.0,1432.0,683.0,0.505065461347,9384784.0,2021.2758992
Alameda,29898.0,71656.0,6322.0,6699.0,7052.0,9825.0,15116.0,15324.0,27287.0,5.0,4270.0,1898.0,5262.0,6777.0,9075.0,0.988952103731,19808919.0,725.947117675
Napa,28588.0,77141.0,6094.0,6045.0,7070.0,9379.0,22910.0,7820.0,32451.0,296.0,3923.0,4600.0,5728.0,12900.0,5004.0,0.623919685727,22557191.0,695.11543558
Hercules,8385.0,23708.0,976.0,1307.0,2268.0,3834.0,7299.0,1539.0,5311.0,5.0,2356.0,384.0,767.0,948.0,851.0,0.574393752569,2726887.0,513.441348145
Newark,12980.0,41386.0,1718.0,2053.0,3447.0,5762.0,9751.0,2731.0,17695.0,24.0,5226.0,3510.0,3610.0,3243.0,2082.0,0.665572761768,18977400.0,1072.47244984
Alameda County,49810.0,138421.0,9734.0,10141.0,12521.0,17414.0,38361.0,12590.0,60938.0,116.0,5539.0,2587.0,23040.0,22240.0,7416.0,0.649227079586,42427252.0,696.236371394
Martinez,14329.0,34502.0,2279.0,2580.0,3849.0,5621.0,11610.0,3486.0,23218.0,14.0,4049.0,1244.0,2374.0,2858.0,12679.0,0.617097329888,11478125.0,494.363209579
Danville,15472.0,40359.0,1053.0,1202.0,2069.0,11148.0,15179.0,848.0,12517.0,55.0,1114.0,1536.0,4092.0,3479.0,2241.0,0.509651492193,5631224.0,449.886074938
Marin County,26602.0,61548.0,3925.0,3943.0,4904.0,13830.0,23457.0,6417.0,12627.0,168.0,800.0,1100.0,3170.0,4149.0,3240.0,0.567037558085,7872287.0,623.448720995
Healdsburg,4434.0,11325.0,978.0,1039.0,1227.0,1190.0,3870.0,1116.0,7669.0,155.0,1870.0,1024.0,1025.0,1742.0,1853.0,0.572868217054,4853058.0,632.814969357
Concord,44802.0,120436.0,9070.0,8800.0,11953.0,14979.0,30663.0,16770.0,53768.0,127.0,7703.0,6991.0,12124.0,15267.0,11556.0,0.730554740241,34301701.0,637.957539801
Sunnyvale,51895.0,131932.0,10538.0,7592.0,12737.0,21028.0,26284.0,28404.0,63603.0,32.0,24577.0,5469.0,14818.0,9947.0,8760.0,0.987197534622,51945789.0,816.71916419
Ross,821.0,2300.0,88.0,85.0,128.0,520.0,870.0,33.0,410.0,0.0,18.0,7.0,66.0,249.0,70.0,0.47183908046,291637.0,711.309756098
Clayton,3939.0,10251.0,362.0,400.0,812.0,2365.0,4008.0,17.0,1901.0,9.0,101.0,135.0,389.0,883.0,384.0,0.491392215569,806620.0,424.3135192
Cloverdale,3275.0,8627.0,914.0,802.0,805.0,754.0,2792.0,804.0,1771.0,36.0,445.0,180.0,228.0,436.0,446.0,0.58649713467,1366813.0,771.774703557
Daly City,29928.0,96405.0,4035.0,4719.0,8141.0,13033.0,21122.0,10148.0,16564.0,20.0,1193.0,3196.0,3113.0,6404.0,2638.0,0.708455638671,9170679.0,553.651231587
Rio Vista,3673.0,8100.0,988.0,961.0,920.0,804.0,3199.0,94.0,1898.0,316.0,372.0,207.0,234.0,276.0,493.0,0.574085651766,892452.0,470.206533193
Oakland,153862.0,390297.0,52799.0,34760.0,31154.0,35149.0,84463.0,77243.0,165182.0,357.0,24763.0,10523.0,31748.0,50567.0,47224.0,0.910824858222,130601268.0,790.650724655
Lafayette,9188.0,22672.0,849.0,1023.0,1677.0,5639.0,7972.0,1582.0,9493.0,23.0,1327.0,758.0,2771.0,3003.0,1611.0,0.57626693427,4451047.0,468.87675129
San Pablo,8603.0,28383.0,2967.0,2099.0,1948.0,1589.0,4745.0,4601.0,6002.0,27.0,638.0,668.0,741.0,2836.0,1092.0,0.906533192835,4052754.0,675.233922026
Walnut Creek,30930.0,63589.0,5705.0,5206.0,7565.0,12454.0,17388.0,15694.0,53137.0,56.0,4205.0,6024.0,17351.0,18013.0,7488.0,0.889406487233,24972547.0,469.96531607
Pleasant Hill,14144.0,33013.0,2224.0,2280.0,3810.0,5830.0,10265.0,4476.0,15828.0,24.0,721.0,1651.0,3934.0,6418.0,3080.0,0.688943010229,8745040.0,552.504422542
Union City,20064.0,67134.0,2791.0,2789.0,4948.0,9536.0,14937.0,4566.0,21310.0,30.0,9628.0,2519.0,2526.0,4512.0,2095.0,0.671620807391,22490086.0,1055.37709995
Brisbane,1797.0,4337.0,348.0,340.0,413.0,696.0,1396.0,518.0,5117.0,0.0,2521.0,219.0,601.0,317.0,1459.0,0.643624641834,5531665.0,1081.03674028
San Leandro,30910.0,83939.0,6943.0,7176.0,8181.0,8610.0,21336.0,10153.0,49341.0,24.0,22592.0,6251.0,5645.0,7856.0,6973.0,0.724362579678,44562979.0,903.163271924
Pinole,6624.0,18205.0,885.0,1271.0,1881.0,2587.0,5855.0,1136.0,7447.0,8.0,1803.0,1354.0,1239.0,2068.0,975.0,0.565670367208,3862020.0,518.600778837
St. Helena,2420.0,5850.0,461.0,449.0,578.0,932.0,2073.0,706.0,4892.0,621.0,1168.0,681.0,824.0,1204.0,394.0,0.583695127834,2405172.0,491.654129191
Fairfield,34160.0,100336.0,5641.0,7232.0,9391.0,11896.0,26620.0,7714.0,44698.0,186.0,7539.0,5686.0,6986.0,10204.0,14097.0,0.64162283997,29578626.0,661.743836413
San Jose,298570.0,918047.0,59828.0,52349.0,69122.0,117271.0,207303.0,104783.0,354569.0,887.0,91073.0,33230.0,82214.0,70337.0,76828.0,0.720129472318,233839629.0,659.503873717
South San Francisco,20497.0,60983.0,2664.0,3430.0,5314.0,9089.0,15828.0,5701.0,39777.0,88.0,15703.0,3392.0,6440.0,7017.0,7137.0,0.647491786707,31350777.0,788.163436157
Palo Alto,25503.0,60421.0,5049.0,3560.0,4270.0,12624.0,16959.0,10200.0,85138.0,46.0,10477.0,3946.0,22128.0,41814.0,6727.0,0.751901645144,49013385.0,575.693403651
Novato,20508.0,51250.0,3348.0,3855.0,5010.0,8295.0,15039.0,6383.0,26254.0,56.0,1949.0,2565.0,10982.0,5288.0,5414.0,0.681827249152,14790782.0,563.372514664
Hillsborough,3630.0,10276.0,22.0,28.0,122.0,3458.0,3861.0,0.0,1980.0,10.0,170.0,31.0,742.0,628.0,399.0,0.470085470085,1041130.0,525.823232323
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Half Moon Bay,4185.0,11443.0,435.0,467.0,796.0,2487.0,3253.0,1180.0,3602.0,219.0,266.0,366.0,857.0,1200.0,694.0,0.643252382416,2033356.0,564.507495836
Windsor,9115.0,26030.0,1492.0,1697.0,2454.0,3472.0,8339.0,1437.0,7579.0,276.0,1545.0,951.0,1491.0,1645.0,1671.0,0.546528360715,6039277.0,796.843514976
Berkeley,45777.0,99376.0,15024.0,8477.0,8923.0,13353.0,23372.0,24342.0,55671.0,35.0,5977.0,5257.0,9439.0,22195.0,12768.0,0.979312852986,35596946.0,639.416320885
Solano County,6369.0,17811.0,1010.0,1198.0,1658.0,2503.0,5598.0,356.0,3683.0,532.0,1005.0,271.0,634.0,459.0,782.0,0.568863879957,1833596.0,497.853923432
Milpitas,18771.0,61788.0,2726.0,3004.0,4349.0,8692.0,14012.0,5370.0,40543.0,13.0,15947.0,4309.0,6492.0,7853.0,5929.0,0.669818726806,34710267.0,856.134647165
American Canyon,5400.0,17573.0,1248.0,1137.0,1442.0,1573.0,4011.0,1685.0,5707.0,87.0,1932.0,881.0,846.0,915.0,1046.0,0.673148840688,6234331.0,1092.40073594
Redwood City,28086.0,74238.0,3772.0,3927.0,6537.0,13850.0,18564.0,10665.0,60260.0,25.0,14121.0,4192.0,10245.0,10924.0,20753.0,0.756464124111,33665058.0,558.663425158
Mountain View,30912.0,70660.0,6845.0,5568.0,6566.0,11933.0,13739.0,19103.0,44279.0,7.0,9072.0,4749.0,13379.0,8409.0,8663.0,1.12497270544,29145750.0,658.229634816
Sonoma,4947.0,10502.0,1287.0,1104.0,1148.0,1408.0,3787.0,1842.0,6306.0,121.0,580.0,984.0,1213.0,2474.0,934.0,0.653155532083,3670792.0,582.111005392
Fairfax,3448.0,7548.0,546.0,674.0,836.0,1392.0,2720.0,905.0,1345.0,3.0,72.0,174.0,370.0,418.0,308.0,0.633823529412,796576.0,592.249814126
Santa Clara,41412.0,108225.0,8603.0,7215.0,9685.0,15909.0,22239.0,21807.0,100113.0,71.0,40312.0,5979.0,25029.0,13800.0,14922.0,0.931067044381,71674353.0,715.934523988
Vallejo,40672.0,114590.0,8469.0,7948.0,10778.0,13477.0,28887.0,13194.0,30708.0,115.0,1651.0,4370.0,7435.0,9150.0,7987.0,0.703984491294,16717911.0,544.415494334
Woodside,1948.0,5149.0,12.0,28.0,93.0,1815.0,2122.0,2.0,1697.0,46.0,100.0,130.0,481.0,535.0,405.0,0.459000942507,951768.0,560.853270477
Santa Clara County,27853.0,80795.0,5374.0,4642.0,6162.0,11675.0,24039.0,5284.0,30291.0,471.0,4927.0,2057.0,6143.0,10953.0,5740.0,0.579329423021,17498154.0,577.668416361
Moraga,5601.0,14010.0,500.0,627.0,1086.0,3388.0,4954.0,829.0,4514.0,1.0,363.0,599.0,1145.0,1912.0,494.0,0.565300767057,2533494.0,561.25254763
Dixon,5901.0,18002.0,952.0,1273.0,1732.0,1944.0,5197.0,865.0,5027.0,105.0,1396.0,583.0,698.0,1360.0,885.0,0.56773138349,4062510.0,808.138054506
Vacaville,31145.0,83439.0,5190.0,6518.0,8379.0,11058.0,23486.0,6150.0,30025.0,316.0,3937.0,5301.0,5347.0,8321.0,6803.0,0.663054585711,19748891.0,657.748243131
Gilroy,14109.0,46619.0,3151.0,2414.0,3615.0,4929.0,10553.0,4416.0,16635.0,420.0,2401.0,4205.0,2368.0,4276.0,2965.0,0.668482895859,14847826.0,892.565434325
Morgan Hill,12878.0,39153.0,2537.0,1703.0,2640.0,5998.0,10317.0,3170.0,18099.0,534.0,6344.0,1859.0,2919.0,3478.0,2965.0,0.624115537462,12084425.0,667.684678712
Cupertino,20836.0,57010.0,3227.0,2345.0,4103.0,11161.0,14752.0,6940.0,26325.0,45.0,10032.0,2441.0,5141.0,6543.0,2123.0,0.706209327549,18811996.0,714.605735992
Benicia,10744.0,27055.0,1510.0,1759.0,2586.0,4889.0,6925.0,3605.0,13847.0,6.0,4989.0,789.0,2748.0,1814.0,3501.0,0.775740072202,10898761.0,787.084639272
Larkspur,5695.0,19861.0,206.0,537.0,696.0,4256.0,3169.0,2918.0,8220.0,2.0,438.0,1187.0,1579.0,3967.0,1047.0,0.898548437993,4210276.0,512.199026764
Piedmont,3690.0,10119.0,230.0,220.0,386.0,2854.0,3762.0,44.0,1609.0,9.0,45.0,27.0,442.0,652.0,434.0,0.49043062201,862058.0,535.772529521
San Mateo,37933.0,93698.0,5319.0,6107.0,8782.0,17725.0,22527.0,16962.0,44517.0,15.0,3540.0,6408.0,15583.0,10479.0,8492.0,0.84194522129,21263313.0,477.644787385
San Rafael,22668.0,54491.0,4407.0,4488.0,4737.0,9036.0,13038.0,10831.0,44129.0,65.0,4204.0,4623.0,11565.0,11628.0,12044.0,0.869305108145,24127481.0,546.748872623
Calistoga,2039.0,5146.0,603.0,489.0,475.0,472.0,1587.0,762.0,2138.0,44.0,214.0,179.0,243.0,1164.0,294.0,0.642407057341,2188102.0,1023.43405051
Cotati,3019.0,7391.0,581.0,661.0,825.0,952.0,2107.0,1066.0,2461.0,12.0,411.0,448.0,472.0,612.0,506.0,0.716421452302,1929162.0,783.893539212
San Anselmo,5195.0,11994.0,805.0,784.0,1011.0,2595.0,4184.0,1295.0,3428.0,1.0,446.0,542.0,928.0,926.0,585.0,0.620817399618,1741968.0,508.158693116
Los Altos,10297.0,26690.0,1204.0,1170.0,1516.0,6407.0,9821.0,965.0,12479.0,27.0,563.0,953.0,4553.0,3936.0,2447.0,0.524233784747,6516107.0,522.165798542
El Cerrito,10018.0,23100.0,1922.0,2066.0,2538.0,3492.0,7771.0,2791.0,5186.0,4.0,191.0,1140.0,1038.0,1798.0,1015.0,0.644575987646,3884536.0,749.042807559
Saratoga,10649.0,28739.0,1358.0,772.0,1338.0,7181.0,10491.0,582.0,6432.0,8.0,520.0,423.0,2056.0,2415.0,1010.0,0.507530264036,3839616.0,596.955223881
Suisun City,9113.0,27851.0,1209.0,1809.0,2889.0,3206.0,8159.0,998.0,2581.0,12.0,189.0,245.0,645.0,822.0,668.0,0.558463046942,1346229.0,521.592018597
Sebastopol,3442.0,7965.0,804.0,795.0,840.0,1003.0,2504.0,1174.0,4900.0,35.0,551.0,850.0,776.0,1834.0,854.0,0.687300319489,2417274.0,493.32122449
Campbell,16201.0,38994.0,3614.0,2954.0,3772.0,5861.0,8970.0,8051.0,22753.0,13.0,3153.0,2883.0,6910.0,5138.0,4656.0,0.903065774805,11813865.0,519.222300356
Los Gatos,11978.0,28347.0,1854.0,1524.0,2372.0,6228.0,9284.0,3420.0,16933.0,28.0,1799.0,1865.0,4440.0,6210.0,2591.0,0.645088323998,8289664.0,489.556723558
Albany,7224.0,17773.0,1950.0,1367.0,1770.0,2137.0,4038.0,3069.0,3173.0,4.0,206.0,457.0,561.0,1287.0,658.0,0.894502228826,1802088.0,567.944531989
Menlo Park,12297.0,31625.0,1452.0,1358.0,2289.0,7198.0,8169.0,4898.0,34554.0,80.0,5169.0,1291.0,11375.0,5256.0,11383.0,0.752662504591,16825867.0,486.944116455
San Carlos,11372.0,27155.0,1184.0,1359.0,2073.0,6756.0,9061.0,2704.0,15254.0,25.0,4092.0,1700.0,3712.0,2363.0,3362.0,0.627524555789,10217929.0,669.852432149
Los Altos Hills,2838.0,7418.0,135.0,155.0,271.0,2277.0,3084.0,0.0,711.0,1.0,18.0,6.0,354.0,204.0,128.0,0.460116731518,549021.0,772.181434599
Sausalito,4108.0,7105.0,547.0,611.0,763.0,2187.0,1985.0,2557.0,5829.0,15.0,526.0,403.0,2217.0,1396.0,1272.0,1.03476070529,2786615.0,478.060559273
Pacifica,13970.0,37483.0,1266.0,1941.0,3827.0,6936.0,11314.0,3202.0,5453.0,4.0,388.0,844.0,1232.0,1584.0,1401.0,0.617376701432,2904107.0,532.570511645
Belmont,8737.0,21048.0,844.0,1047.0,1822.0,5024.0,7153.0,1940.0,6779.0,0.0,664.0,636.0,1644.0,2323.0,1512.0,0.610722773661,3971550.0,585.860746423
Tiburon,3681.0,8389.0,327.0,478.0,588.0,2288.0,2774.0,1225.0,2686.0,21.0,148.0,102.0,1207.0,870.0,338.0,0.663482335977,1364518.0,508.011169025
East Palo Alto,6475.0,25580.0,1623.0,1254.0,1725.0,1873.0,4415.0,2737.0,4857.0,14.0,398.0,698.0,1513.0,1660.0,574.0,0.733295583239,2892607.0,595.554251596
San Bruno,14418.0,39543.0,1905.0,2574.0,3869.0,6070.0,9671.0,5374.0,10594.0,15.0,932.0,2268.0,2142.0,2909.0,2328.0,0.745424464895,5858393.0,552.991599018
Emeryville,5165.0,9351.0,1710.0,1154.0,1127.0,1174.0,1395.0,3127.0,14796.0,3.0,2948.0,1651.0,4804.0,3449.0,1941.0,1.85125448029,12430678.0,840.13773993
Corte Madera,3689.0,8650.0,422.0,656.0,741.0,1870.0,2964.0,1001.0,6605.0,1.0,719.0,1458.0,1373.0,1735.0,1319.0,0.622300944669,3384745.0,512.451930356
Foster City,11689.0,28765.0,885.0,1360.0,2219.0,7225.0,7570.0,4552.0,15401.0,77.0,1390.0,953.0,7527.0,2349.0,3105.0,0.772060766182,7439853.0,483.075969093
Millbrae,7886.0,20760.0,1225.0,1154.0,1912.0,3595.0,5692.0,2554.0,4978.0,3.0,243.0,677.0,899.0,2126.0,1030.0,0.692726633872,2899704.0,582.503816794
Burlingame,12312.0,28272.0,1564.0,1693.0,2877.0,6178.0,7032.0,5944.0,27063.0,29.0,6423.0,2765.0,7125.0,6247.0,4474.0,0.87542662116,16670839.0,616.001145475
Atherton,2303.0,6385.0,55.0,61.0,143.0,2044.0,2517.0,2.0,1437.0,2.0,58.0,19.0,379.0,753.0,226.0,0.457489074295,963985.0,670.831593598
Portola Valley,1667.0,4229.0,4.0,13.0,41.0,1609.0,1778.0,0.0,2456.0,659.0,140.0,39.0,641.0,570.0,407.0,0.468785151856,1006458.0,409.795602606
Colma,828.0,2298.0,153.0,174.0,247.0,254.0,432.0,407.0,3381.0,1.0,140.0,1796.0,92.0,864.0,488.0,0.958333333333,1549515.0,458.30079858
Monte Sereno,1201.0,2971.0,175.0,145.0,211.0,670.0,1183.0,99.0,264.0,2.0,24.0,3.0,141.0,67.0,27.0,0.507607776839,103170.0,390.795454545
Belvedere,923.0,2021.0,36.0,47.0,84.0,756.0,918.0,125.0,267.0,4.0,4.0,7.0,134.0,72.0,46.0,0.502723311547,124643.0,466.827715356
Yountville,1054.0,1979.0,289.0,205.0,248.0,312.0,864.0,392.0,2321.0,71.0,163.0,56.0,126.0,715.0,1190.0,0.609953703704,1684365.0,725.706591986
Stanislaus County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacramento County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Joaquin County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yolo County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake County,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Santa Cruz County,10.0,23.0,1.0,1.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
San Francisco County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Benito County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
