pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
ccg1_d,1527.0,3876.0,271.0,308.0,404.0,544.0,1114.0,473.0,1811.0,1.0,125.0,466.0,360.0,426.0,433.0,0.685368043088,905915.0,500.229155163
val1,307.0,616.0,183.0,58.0,41.0,25.0,2.0,295.0,1774.0,1.0,185.0,54.0,200.0,363.0,971.0,76.75,1087804.0,613.192784667
win1,1802.0,5210.0,345.0,387.0,469.0,601.0,1141.0,776.0,1081.0,15.0,162.0,200.0,209.0,182.0,313.0,0.789658194566,792450.0,733.071230342
ant2,1390.0,4009.0,545.0,355.0,346.0,144.0,868.0,648.0,1930.0,0.0,169.0,480.0,249.0,480.0,552.0,0.80069124424,2135369.0,1106.40880829
eme1,2292.0,4176.0,771.0,526.0,481.0,514.0,104.0,1143.0,12973.0,2.0,2554.0,1443.0,4223.0,3024.0,1727.0,11.0192307692,12242781.0,943.712402682
mvw1,664.0,1527.0,101.0,92.0,141.0,330.0,360.0,304.0,1731.0,0.0,1195.0,134.0,235.0,5.0,162.0,0.922222222222,879649.0,508.173887926
sbr1,3737.0,11887.0,648.0,869.0,1141.0,1079.0,2248.0,1658.0,5201.0,13.0,465.0,959.0,907.0,1489.0,1368.0,0.831183274021,3167904.0,609.095174005
cam1,597.0,1172.0,138.0,131.0,146.0,182.0,208.0,465.0,5404.0,2.0,968.0,667.0,1667.0,874.0,1226.0,1.43509615385,2547552.0,471.419689119
sfo6,69.0,104.0,15.0,11.0,13.0,30.0,86.0,0.0,10274.0,10.0,1829.0,504.0,3634.0,2640.0,1657.0,0.401162790698,8454063.0,822.859937707
ber2,2429.0,4722.0,1356.0,451.0,381.0,241.0,121.0,2398.0,11944.0,1.0,217.0,548.0,2885.0,5017.0,3276.0,10.0371900826,6906278.0,578.221533825
ala1,933.0,2727.0,235.0,246.0,277.0,175.0,751.0,505.0,1364.0,0.0,227.0,10.0,350.0,389.0,388.0,0.621171770972,1412643.0,1035.66202346
sle2,797.0,1857.0,238.0,197.0,196.0,166.0,41.0,785.0,1701.0,0.0,162.0,363.0,284.0,510.0,382.0,9.71951219512,979970.0,576.114050558
hay3_b,1314.0,3861.0,173.0,271.0,291.0,579.0,125.0,1066.0,473.0,1.0,23.0,78.0,101.0,206.0,64.0,5.256,541258.0,1144.30866808
pin1,62.0,174.0,13.0,13.0,13.0,23.0,41.0,25.0,2348.0,2.0,356.0,619.0,408.0,697.0,266.0,0.756097560976,1280579.0,545.391396934
ber6,471.0,974.0,135.0,111.0,103.0,122.0,34.0,461.0,2144.0,1.0,160.0,238.0,349.0,733.0,663.0,6.92647058824,1356028.0,632.475746269
vta1_b,2266.0,5966.0,422.0,274.0,447.0,1123.0,422.0,1947.0,9537.0,7.0,3774.0,964.0,1758.0,2359.0,675.0,2.68483412322,5855196.0,613.945265807
ccc3_a,840.0,2779.0,239.0,193.0,221.0,187.0,366.0,541.0,754.0,0.0,241.0,70.0,130.0,153.0,160.0,1.14754098361,505972.0,671.050397878
ori1,227.0,579.0,15.0,17.0,24.0,171.0,0.0,231.0,2579.0,27.0,171.0,192.0,922.0,796.0,471.0,0.0,1418394.0,549.978286157
ccg1_c,4284.0,11982.0,622.0,705.0,1100.0,1857.0,2492.0,2158.0,6162.0,3.0,804.0,700.0,867.0,2812.0,976.0,0.859550561798,3483406.0,565.304446608
ssf1,1024.0,3386.0,228.0,251.0,267.0,278.0,604.0,463.0,1963.0,1.0,246.0,252.0,426.0,487.0,551.0,0.847682119205,1226211.0,624.661742231
bur1,7002.0,15123.0,913.0,1003.0,1701.0,3385.0,2845.0,4576.0,11358.0,29.0,948.0,1748.0,2798.0,3712.0,2123.0,1.23057996485,5614202.0,494.294946293
mil1,137.0,371.0,31.0,32.0,30.0,44.0,1.0,145.0,709.0,0.0,41.0,118.0,88.0,299.0,163.0,68.5,461942.0,651.540197461
ccg1_f,10442.0,22659.0,1566.0,1583.0,2428.0,4865.0,3062.0,7762.0,7288.0,4.0,372.0,1014.0,2789.0,1804.0,1305.0,1.70509470934,3313431.0,454.64201427
ccg1_g,2368.0,5641.0,282.0,297.0,588.0,1201.0,1082.0,1371.0,4609.0,0.0,759.0,571.0,1227.0,1164.0,888.0,1.09426987061,2457560.0,533.208939032
ccg1_h,2652.0,5732.0,336.0,407.0,566.0,1343.0,1354.0,1332.0,6802.0,14.0,1726.0,769.0,1555.0,1251.0,1487.0,0.979320531758,4587243.0,674.396206998
ccg1_l,2377.0,8299.0,432.0,361.0,627.0,957.0,1905.0,605.0,2766.0,2.0,823.0,128.0,649.0,393.0,771.0,0.623884514436,2247739.0,812.631597975
