serialno,puma1,asian,black,hisp,white
1299024,40,0,0,0,1
1300746,40,0,0,0,1
1304204,40,0,0,0,1
1304851,40,0,0,0,1
1305618,40,0,0,0,1
1307154,40,0,0,0,1
1307927,40,0,0,0,1
1308904,40,0,0,0,1
1310557,40,0,0,0,1
1313339,40,0,0,0,1
1318919,40,0,0,0,1
1321454,40,1,0,0,0
1322061,40,0,0,0,1
1322356,40,0,0,0,1
1325969,40,0,0,1,0
1326529,40,0,0,0,1
1332223,40,0,0,0,1
1336557,40,0,0,0,1
1338097,40,0,0,1,1
1346890,40,0,0,1,1
1347163,40,0,0,1,0
1347237,40,0,0,0,1
1348143,40,0,0,0,1
1353269,40,0,0,0,1
1354075,40,0,0,0,1
1359913,40,0,0,0,1
1362276,40,0,0,0,1
1367549,40,0,0,0,1
1373876,40,0,0,0,1
1375279,40,0,0,0,1
1375837,40,0,0,1,0
1376210,40,0,0,0,1
1379093,40,0,0,0,1
1387793,40,0,0,0,1
1397004,40,0,0,0,1
1397333,40,0,0,0,1
1400517,40,0,0,0,1
1401013,40,0,0,0,1
1401973,40,0,0,0,1
1406478,40,0,0,0,1
1412370,40,0,0,0,1
1413852,40,0,0,0,1
1414620,40,0,0,0,1
1416203,40,0,0,0,1
1420358,40,0,0,0,1
1421000,40,0,0,0,1
1421886,40,0,0,0,1
1423718,40,0,0,0,1
1424216,40,0,0,0,1
1427544,40,0,0,0,1
1432549,40,0,0,0,1
1440759,40,0,0,0,1
1441014,40,0,0,0,1
1441049,40,0,0,0,0
1441940,40,0,0,0,1
1442935,40,0,0,0,1
1443944,40,0,0,1,1
1452420,40,1,0,0,0
1453849,40,0,0,0,1
1471701,40,0,0,0,1
1472454,40,0,0,0,1
1472498,40,0,0,0,1
1482008,40,1,0,0,0
1486288,40,0,0,0,1
1486824,40,0,0,0,1
1488702,40,0,0,0,1
1489283,40,0,0,0,1
1489515,40,0,0,0,1
1490533,40,0,0,0,1
1490724,40,0,0,0,1
1495801,40,0,0,1,1
1495805,40,0,0,1,0
1497339,40,0,0,0,1
1497778,40,0,0,0,1
1499467,40,0,0,1,0
1506805,40,0,0,0,1
1508523,40,0,0,0,1
1511396,40,0,0,0,1
1513239,40,0,1,0,0
1514021,40,0,0,0,1
1515363,40,0,0,0,1
1515680,40,0,0,0,1
1516960,40,0,0,0,1
1520325,40,0,0,0,1
1533560,40,0,0,0,1
1534125,40,0,0,0,1
1537442,40,0,0,1,1
1538911,40,1,0,0,0
1542973,40,0,0,0,1
1543539,40,0,0,0,1
1543782,40,0,0,0,1
1544287,40,0,0,0,1
1545323,40,0,0,0,1
1547614,40,0,0,0,1
1548021,40,0,0,0,1
1549302,40,0,0,0,1
1550980,40,0,0,0,1
1555407,40,0,0,0,1
1555427,40,0,0,0,1
1558782,40,0,0,0,1
1567641,40,0,0,0,1
1568177,40,0,0,0,1
1574430,40,0,0,1,0
1576015,40,1,0,0,0
1579203,40,0,0,1,1
1584741,40,0,0,0,1
1586229,40,0,0,0,1
1586759,40,0,0,1,1
1587009,40,0,0,0,1
1589991,40,0,0,0,1
1591161,40,0,0,0,1
1591262,40,0,0,1,1
1592092,40,0,0,0,1
1600687,40,0,0,1,1
1603871,40,0,0,0,1
1605341,40,0,0,0,1
1605504,40,0,0,0,1
1613219,40,0,0,0,1
1614986,40,0,0,0,1
1616260,40,0,0,0,1
1618369,40,0,0,0,1
1628146,40,0,0,0,1
1629198,40,0,0,0,1
1630762,40,0,0,0,1
