tmnode_id,embarcadero,pacheights,stanford
265,26.454000473,75.0,22.9099998474
266,26.0240001678,75.0,21.8659992218
267,28.861000061,75.0,24.7339992523
268,27.75,75.0,23.6229991913
269,30.311000824,75.0,26.1840000153
270,28.0550003052,75.0,23.9279994965
271,28.5669994354,75.0,24.406999588
272,27.8360004425,75.0,23.6760005951
273,29.1970005035,75.0,25.0370006561
274,25.2210006714,75.0,19.9720001221
275,27.9279994965,75.0,19.4559993744
276,27.6590003967,75.0,21.5830001831
277,26.031999588,75.0,20.6749992371
278,26.0289993286,75.0,21.8190002441
279,24.7910003662,75.0,22.9249992371
280,25.5480003357,75.0,21.8330001831
281,26.0349998474,75.0,21.8449993134
282,28.9179992676,75.0,21.2329998016
283,27.5590000153,75.0,21.9689998627
284,27.1949996948,75.0,21.8320007324
285,28.8409996033,75.0,22.2999992371
286,29.422000885,75.0,21.0629997253
287,29.8719997406,75.0,21.3999996185
288,30.0090007782,75.0,20.3330001831
289,30.561000824,75.0,21.4160003662
290,28.8400001526,75.0,20.2269992828
291,29.1809997559,75.0,20.9699993134
292,28.093000412,75.0,20.3869991302
293,33.8720016479,75.0,75.0
294,37.0950012207,75.0,75.0
295,41.4010009766,75.0,35.013999939
296,43.8409996033,75.0,35.5449981689
297,56.6319999695,75.0,29.7390003204
298,43.5999984741,75.0,13.8680000305
299,41.0489997864,75.0,14.3699998856
300,36.9029998779,75.0,12.4259996414
301,35.5159988403,75.0,12.5699996948
302,35.1730003357,75.0,16.186000824
303,34.3709983826,75.0,13.531999588
304,33.2050018311,75.0,16.2719993591
305,32.2470016479,75.0,17.3490009308
306,31.7950000763,75.0,21.0349998474
307,30.6909999847,75.0,19.2049999237
308,30.7509994507,75.0,17.4330005646
309,29.2010002136,75.0,18.4179992676
310,28.6790008545,75.0,17.8959999084
311,28.3990001678,75.0,19.5990009308
312,32.0460014343,75.0,21.1749992371
313,35.6469993591,75.0,18.2119998932
314,31.2749996185,75.0,13.8050003052
315,30.4629993439,75.0,15.1300001144
316,29.8159999847,75.0,15.0310001373
317,31.5200004578,75.0,15.1560001373
318,31.1040000916,75.0,17.2460002899
319,33.266998291,75.0,14.9449996948
320,34.8969993591,75.0,13.75
321,35.6209983826,75.0,11.373000145
322,34.5190010071,75.0,11.5559997559
323,33.0600013733,75.0,12.9490003586
324,32.7840003967,75.0,12.1990003586
325,33.7249984741,75.0,13.6599998474
326,32.1380004883,75.0,14.1689996719
327,34.172000885,75.0,12.6789999008
328,34.5480003357,75.0,13.8680000305
329,34.0029983521,75.0,14.2530002594
330,33.8429985046,75.0,13.2379999161
331,36.3260002136,75.0,12.279999733
332,37.6829986572,75.0,11.579000473
333,39.766998291,75.0,13.6630001068
334,35.9879989624,75.0,11.3940000534
335,35.797000885,75.0,9.37100028992
336,35.7690010071,75.0,8.82800006866
337,36.8180007935,75.0,11.2720003128
338,35.2369995117,75.0,13.4469995499
339,35.797000885,75.0,10.9029998779
340,37.1570014954,75.0,8.17099952698
341,38.1800003052,75.0,8.95499992371
342,36.5190010071,75.0,10.5059995651
343,38.9980010986,75.0,8.91699981689
344,39.0800018311,75.0,7.73999977112
345,38.0410003662,75.0,7.28399991989
346,37.6590003967,75.0,7.96199989319
347,45.3370018005,75.0,13.5200004578
348,41.5060005188,75.0,7.632999897
349,40.6590003967,75.0,6.13800001144
350,42.2760009766,75.0,5.40700006485
351,40.0979995728,75.0,3.68600010872
352,42.9269981384,75.0,0.0
353,41.3979988098,75.0,2.54999995232
354,40.6629981995,75.0,5.23199987411
355,41.2849998474,75.0,4.68699979782
356,38.1650009155,75.0,6.73299980164
357,37.6090011597,75.0,9.01399993896
358,38.0180015564,75.0,7.69500017166
359,39.4679985046,75.0,6.80100011826
360,39.8810005188,75.0,6.36000013351
361,38.9090003967,75.0,8.31999969482
362,40.8450012207,75.0,10.1470003128
363,41.4179992676,75.0,8.63599967957
364,40.9560012817,75.0,11.4219999313
365,41.9070014954,75.0,10.3000001907
366,40.8670005798,75.0,6.34600019455
367,41.9249992371,75.0,7.40399980545
368,45.8269996643,75.0,11.8409996033
369,44.0050010681,75.0,11.0380001068
370,44.6920013428,75.0,11.2080001831
371,44.4700012207,75.0,12.1000003815
372,42.8289985657,75.0,11.0509996414
373,41.0289993286,75.0,11.4949998856
374,40.0029983521,75.0,10.875
375,40.7120018005,75.0,11.5839996338
376,41.9560012817,75.0,12.8280000687
377,41.4070014954,75.0,12.2790002823
378,42.7249984741,75.0,13.0710000992
379,43.6819992065,75.0,13.1979999542
380,44.013999939,75.0,12.7239999771
381,44.672000885,75.0,13.8100004196
382,44.9770011902,75.0,14.5659999847
383,45.8810005188,75.0,13.9040002823
384,44.8779983521,75.0,11.9289999008
385,44.7010002136,75.0,12.7379999161
386,46.6160011292,75.0,13.7980003357
387,46.9609985352,75.0,14.611000061
388,46.7980003357,75.0,15.4870004654
389,45.9459991455,75.0,15.9429998398
390,43.7000007629,75.0,14.517999649
391,44.2220001221,75.0,15.0830001831
392,45.2980003357,75.0,15.9659996033
393,45.7420005798,75.0,16.4009990692
394,46.2459983826,75.0,16.9050006866
395,44.9729995728,75.0,15.6319999695
396,44.9550018311,75.0,15.8269996643
