eirzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,juris,gg_id,tra_id,sesit_id,coc_id,ppa_id,exp2020_id,ex_res_bldg,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,res_rent_cat,job_out_cat
santa_claraNAtra2cHRADISNANAinres,1807,235,33.9390752100247,85,santa_clara,NA,tra2c,HRADIS,NA,NA,in,res,,,,,,,,,
unincorporated_santa_claraGGtra3HRANANAinunres,1808,145,37.06171752633899,85,unincorporated_santa_clara,GG,tra3,HRA,NA,NA,inun,res,HM,,100.0,,0.0,0.0,,,
san_joseGGtra2bDISCoCNAinres,1809,38,5.780610937908401,85,san_jose,GG,tra2b,DIS,CoC,NA,in,res,HM,,200.0,,,,,,
san_joseNAtra3DISCoCppainNA,1810,287,495.58218528779025,85,san_jose,NA,tra3,DIS,CoC,ppa,in,NA,,,,,,,,,
san_joseGGtra2cDISCoCNAinres,1811,173,49.620263187128096,85,san_jose,GG,tra2c,DIS,CoC,NA,in,res,HM,,150.0,,,,,,
san_joseNANADISNANAoutres,1812,255,283.4727828791989,85,san_jose,NA,NA,DIS,NA,NA,out,res,,,,,0.0,0.0,,,
unincorporated_santa_claraNANANANANAinunNA,1813,85,184.78763454265197,85,unincorporated_santa_clara,NA,NA,NA,NA,NA,inun,NA,,,,,0.0,0.0,,,
san_joseGGNADISCoCNAinNA,1814,69,26.56866102470571,85,san_jose,GG,NA,DIS,CoC,NA,in,NA,,,,,,,,,
gilroyNAtra3NACoCNAinNA,1815,169,274.8151201115695,85,gilroy,NA,tra3,NA,CoC,NA,in,NA,,,,,,,,,
gilroyGGNANACoCNAinNA,1816,44,103.38129296904938,85,gilroy,GG,NA,NA,CoC,NA,in,NA,,,,,,,,,
vallejoGGNADISCoCNAinNA,1817,62,301.5952516535061,95,vallejo,GG,NA,DIS,CoC,NA,in,NA,,,,,,,,,
unincorporated_solanoNANAHRADISNANAexp1res,1818,200,1067.7235649141278,95,unincorporated_solano,NA,NA,HRADIS,NA,NA,exp1,res,,,,,0.0,0.0,,,
unincorporated_solanoNANAHRADISNANAexpmaxNA,1819,65,4111.875004688833,95,unincorporated_solano,NA,NA,HRADIS,NA,NA,expmax,NA,,,,,0.0,0.0,,,
dixonNANAHRADISNANAinNA,1820,71,79.5425634779216,95,dixon,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
unincorporated_solanoNANANACoCNAexp1NA,1821,14,584.306731435477,95,unincorporated_solano,NA,NA,NA,CoC,NA,exp1,NA,,,,,0.0,0.0,,,
vacavilleGGtra3NANANAinNA,1822,101,169.2747927545647,95,vacaville,GG,tra3,NA,NA,NA,in,NA,HM,,100.0,,,,,,
vacavilleGGtra3NANANAinres,1823,22,101.354939365599,95,vacaville,GG,tra3,NA,NA,NA,in,res,HM,,100.0,,,,,,
fairfieldGGNADISNANAinres,1824,196,77.77370644334856,95,fairfield,GG,NA,DIS,NA,NA,in,res,,,,,,,,,
suisun_cityNANADISNANAinNA,1825,173,465.36223354953404,95,suisun_city,NA,NA,DIS,NA,NA,in,NA,,,,,,,,,
campbellGGtra2cHRANANAinres,1826,374,77.93581135769217,85,campbell,GG,tra2c,HRA,NA,NA,in,res,HM,,150.0,,,,,,
mountain_viewNAtra2cHRADISNANAinres,1827,193,64.30923841660058,85,mountain_view,NA,tra2c,HRADIS,NA,NA,in,res,,,,,,,,,
unincorporated_sonomaGGNANANANAinunres,1828,29,82.17108811283101,97,unincorporated_sonoma,GG,NA,NA,NA,NA,inun,res,,,,,0.0,0.0,,,
fairfaxGGNAHRADISNANAinres,1829,110,13.376881846657149,41,fairfax,GG,NA,HRADIS,NA,NA,in,res,,,,,,,,,
san_anselmoGGtra3HRANANAinres,1830,378,58.77267393251403,41,san_anselmo,GG,tra3,HRA,NA,NA,in,res,HM,,100.0,,,,,,
san_rafaelNANANACoCNAoutres,1831,170,35.80574381455539,41,san_rafael,NA,NA,NA,CoC,NA,out,res,,,,,0.0,0.0,,,
san_rafaelNANANANANAinNA,1832,58,825.9612599705897,41,san_rafael,NA,NA,NA,NA,NA,in,NA,,,,,,,,,
san_rafaelGGtra3NANANAinNA,1833,80,104.24959895968925,41,san_rafael,GG,tra3,NA,NA,NA,in,NA,HM,,100.0,,,,,,
san_rafaelGGtra3DISCoCNAoutres,1834,60,19.741373399701903,41,san_rafael,GG,tra3,DIS,CoC,NA,out,res,HM,,100.0,,0.0,0.0,,,
san_rafaelGGNADISCoCNAoutres,1835,14,4.234660092317,41,san_rafael,GG,NA,DIS,CoC,NA,out,res,,,,,0.0,0.0,,,
larkspurNANAHRADISNANAinres,1836,301,16.8901347506439,41,larkspur,NA,NA,HRADIS,NA,NA,in,res,,,,,,,,,
corte_maderaNANAHRANANAinNA,1837,115,252.0164679689887,41,corte_madera,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
mill_valleyNAtra3HRADISNANAinNA,1838,199,197.0669986259001,41,mill_valley,NA,tra3,HRADIS,NA,NA,in,NA,,,,,,,,,
unincorporated_marinNAtra3HRADISNANAoutres,1839,124,21.72154387852888,41,unincorporated_marin,NA,tra3,HRADIS,NA,NA,out,res,,,,,0.0,0.0,,,
unincorporated_alamedaNANAHRADISNANAexp1_npNA,1840,22,1573.20661436352,1,unincorporated_alameda,NA,NA,HRADIS,NA,NA,exp1_np,NA,,,,,0.0,0.0,,,
oaklandNAtra3NACoCppainNA,1841,38,781.6177247715395,1,oakland,NA,tra3,NA,CoC,ppa,in,NA,,HM,,,,,,,
oaklandNANANACoCppainNA,1842,18,1292.6486084244848,1,oakland,NA,NA,NA,CoC,ppa,in,NA,,,,,,,,,
oaklandNANAHRADISNANAoutNA,1843,2,2.6835862860399997,1,oakland,NA,NA,HRADIS,NA,NA,out,NA,,,,,0.0,0.0,,,
burlingameNANAHRANANAinNA,1844,37,74.12833150237074,81,burlingame,NA,NA,HRA,NA,NA,in,NA,,,,,,,,,
emeryvilleGGtra3NACoCNAinNA,1845,145,125.36154155092512,1,emeryville,GG,tra3,NA,CoC,NA,in,NA,HM,,100.0,,,,,,
unincorporated_alamedaNANADISNANAexp3_auNA,1846,79,5001.188889349717,1,unincorporated_alameda,NA,NA,DIS,NA,NA,exp3_au,NA,,,,,0.0,0.0,,,
emeryvilleNAtra2aDISNANAinres,1847,191,19.532804625832192,1,emeryville,NA,tra2a,DIS,NA,NA,in,res,,,,,,,,,
emeryvilleNAtra2aDISNANAinNA,1848,54,25.88975455643603,1,emeryville,NA,tra2a,DIS,NA,NA,in,NA,,,,,,,,,
piedmontNANAHRANANAinres,1849,364,74.49394458055268,1,piedmont,NA,NA,HRA,NA,NA,in,res,,,,,,,,,
piedmontGGtra3HRADISNANAinres,1850,2,0.2596797655501,1,piedmont,GG,tra3,HRADIS,NA,NA,in,res,HM,,100.0,,,,,,
piedmontNAtra3HRANANAinres,1851,312,84.8953048922716,1,piedmont,NA,tra3,HRA,NA,NA,in,res,,,,,,,,,
berkeleyGGtra3NANANAinNA,1852,78,25.40733103102678,1,berkeley,GG,tra3,NA,NA,NA,in,NA,HM,,100.0,,,,,,
san_leandroGGtra3DISCoCNAinNA,1853,9,36.2353014826558,1,san_leandro,GG,tra3,DIS,CoC,NA,in,NA,HM,,100.0,,,,,,
alamedaGGtra3DISNANAinNA,1854,36,13.8958436449844,1,alameda,GG,tra3,DIS,NA,NA,in,NA,HM,,100.0,,,,,,
alamedaGGNANANANAinNA,1855,22,59.26155518156191,1,alameda,GG,NA,NA,NA,NA,in,NA,,,,,,,,,
san_leandroNAtra3NANANAinNA,1856,50,29.042344505814693,1,san_leandro,NA,tra3,NA,NA,NA,in,NA,,,,,,,,,
san_leandroGGtra3NACoCNAinNA,1857,242,145.15436731058185,1,san_leandro,GG,tra3,NA,CoC,NA,in,NA,HM,,100.0,,,,,,
san_leandroGGtra1NANANAinNA,1858,116,126.00183083796259,1,san_leandro,GG,tra1,NA,NA,NA,in,NA,HM,,300.0,9.0,,,,,san_leandro
haywardGGtra2aDISNANAinres,1859,371,52.97995955875422,1,hayward,GG,tra2a,DIS,NA,NA,in,res,HM,,250.0,,,,,,
san_leandroNANADISNANAoutNA,1860,2,277.09010315989997,1,san_leandro,NA,NA,DIS,NA,NA,out,NA,,,,,0.0,0.0,,,
haywardGGNADISNANAinNA,1861,52,59.47522459194609,1,hayward,GG,NA,DIS,NA,NA,in,NA,,,,,,,,,
unincorporated_alamedaGGtra2aNANANAinunNA,1862,255,145.56227733334055,1,unincorporated_alameda,GG,tra2a,NA,NA,NA,inun,NA,HM,,250.0,,0.0,0.0,,,
union_cityGGtra2aDISNANAinNA,1863,77,213.24452943993862,1,union_city,GG,tra2a,DIS,NA,NA,in,NA,HM,,250.0,,,,,,union_city
unincorporated_alamedaNANADISNANAexpmax_npNA,1864,98,10361.087503179919,1,unincorporated_alameda,NA,NA,DIS,NA,NA,expmax_np,NA,,,,,0.0,0.0,,,
unincorporated_alamedaNAtra3NANANAinunNA,1865,198,262.36621367148683,1,unincorporated_alameda,NA,tra3,NA,NA,NA,inun,NA,,,,,0.0,0.0,,,
haywardGGtra2aDISCoCNAinres,1866,89,84.72133537316178,1,hayward,GG,tra2a,DIS,CoC,NA,in,res,HM,,250.0,,,,,,
haywardGGNANANANAinres,1867,176,30.45987916464879,1,hayward,GG,NA,NA,NA,NA,in,res,,,,,,,,,
haywardNANANANAppainres,1868,65,46.02766419671301,1,hayward,NA,NA,NA,NA,ppa,in,res,,,,,,,,,
union_cityGGtra3HRADISNANAinNA,1869,16,2.2370446540696736,1,union_city,GG,tra3,HRADIS,NA,NA,in,NA,HM,,100.0,,,,,,
el_cerritoNANANANANAinNA,1870,111,225.4823641078568,13,el_cerrito,NA,NA,NA,NA,NA,in,NA,,,,,,,,,
san_brunoNANAHRADISNANAinNA,1871,67,255.6193015391255,81,san_bruno,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
san_brunoGGtra3NACoCNAinres,1872,354,36.950491482869616,81,san_bruno,GG,tra3,NA,CoC,NA,in,res,HM,,100.0,,,,,,
san_brunoNAtra3NANANAinres,1873,758,88.60761369057467,81,san_bruno,NA,tra3,NA,NA,NA,in,res,,,,,,,,,
millbraeGGtra3HRANANAinres,1874,53,13.057852648478002,81,millbrae,GG,tra3,HRA,NA,NA,in,res,HM,,100.0,,,,,,
san_brunoGGtra2bNANANAinNA,1875,24,55.3478592224115,81,san_bruno,GG,tra2b,NA,NA,NA,in,NA,HM,,200.0,,,,,,
san_brunoGGtra2bDISNANAinNA,1876,54,8.11945426451599,81,san_bruno,GG,tra2b,DIS,NA,NA,in,NA,HM,,200.0,,,,,,
millbraeNAtra3DISNANAinres,1877,10,1.2952841098110002,81,millbrae,NA,tra3,DIS,NA,NA,in,res,,,,,,,,,
hillsboroughGGtra3HRADISNANAinres,1878,158,79.36800179079903,81,hillsborough,GG,tra3,HRADIS,NA,NA,in,res,HM,,100.0,,,,,,
concordGGNANACoCNAinres,1879,44,17.625735617829008,13,concord,GG,NA,NA,CoC,NA,in,res,,,,,,,,,
concordGGNANACoCNAinNA,1880,105,80.51771019181243,13,concord,GG,NA,NA,CoC,NA,in,NA,,,,,,,,,
burlingameGGtra2aHRANANAinres,1881,50,6.627757247777401,81,burlingame,GG,tra2a,HRA,NA,NA,in,res,HM,,250.0,,,,,,
unincorporated_contra_costaGGtra2aNACoCNAinunNA,1882,63,77.99256982682418,13,unincorporated_contra_costa,GG,tra2a,NA,CoC,NA,inun,NA,HM,,250.0,,0.0,0.0,,,
unincorporated_san_mateoGGNANANANAinunres,1883,101,13.346147383378007,81,unincorporated_san_mateo,GG,NA,NA,NA,NA,inun,res,,,,,0.0,0.0,,,
daly_cityNANANANANAinNA,1884,9,3.1116414888339996,81,daly_city,NA,NA,NA,NA,NA,in,NA,,,,,,,,,
unincorporated_napaNANADISNANAexp0_npres,1885,3,0.843766820917,55,unincorporated_napa,NA,NA,DIS,NA,NA,exp0_np,res,,,,,0.0,0.0,,,
unincorporated_napaNANANANANAexp1_npres,1886,74,600.4255309255941,55,unincorporated_napa,NA,NA,NA,NA,NA,exp1_np,res,,,,,0.0,0.0,,,
american_canyonNANADISNAppainres,1887,8,18.457356839881,55,american_canyon,NA,NA,DIS,NA,ppa,in,res,,,,,,,,,
american_canyonGGNADISNANAinNA,1888,111,130.44930714015777,55,american_canyon,GG,NA,DIS,NA,NA,in,NA,,,,,,,,,
san_joseGGtra3DISNANAinNA,1889,412,493.59138273537155,85,san_jose,GG,tra3,DIS,NA,NA,in,NA,HM,,100.0,,,,,,
vallejoNAtra3NACoCNAinNA,1890,163,149.31722427050516,95,vallejo,NA,tra3,NA,CoC,NA,in,NA,,,,,,,,,
campbellGGtra3HRANANAinres,1891,150,18.764132430493387,85,campbell,GG,tra3,HRA,NA,NA,in,res,HM,,100.0,,,,,,
campbellGGtra2cHRADISNANAinNA,1892,171,197.9597914485672,85,campbell,GG,tra2c,HRADIS,NA,NA,in,NA,HM,,150.0,,,,,,
palo_altoNANAHRADISNANAinNA,1893,116,136.50503642247065,85,palo_alto,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
san_joseGGtra3HRADISNANAinNA,1894,119,94.55458109381533,85,san_jose,GG,tra3,HRADIS,NA,NA,in,NA,HM,,100.0,,,,,,
mountain_viewNAtra2cHRANANAinres,1895,140,23.133499408466804,85,mountain_view,NA,tra2c,HRA,NA,NA,in,res,,,,,,,,,
unincorporated_santa_claraGGtra2cHRANANAinunres,1896,17,4.869443379301,85,unincorporated_santa_clara,GG,tra2c,HRA,NA,NA,inun,res,HM,,150.0,,0.0,0.0,,,
santa_claraNAtra3NACoCNAinres,1897,269,51.94945504819709,85,santa_clara,NA,tra3,NA,CoC,NA,in,res,,,,,,,,,
santa_claraGGtra3HRANANAinNA,1898,172,270.02837736446816,85,santa_clara,GG,tra3,HRA,NA,NA,in,NA,HM,,100.0,,,,,,
campbellGGtra3NANANAinNA,1899,29,36.84076579196954,85,campbell,GG,tra3,NA,NA,NA,in,NA,HM,,100.0,,,,,,
cupertinoNAtra2cHRANANAinNA,1900,89,128.5085093504262,85,cupertino,NA,tra2c,HRA,NA,NA,in,NA,,,,,,,,,
campbellGGtra2cHRANANAinNA,1901,55,39.936537610905994,85,campbell,GG,tra2c,HRA,NA,NA,in,NA,HM,,150.0,,,,,,
saratogaNANAHRADISNANAinNA,1902,416,978.8919785280018,85,saratoga,NA,NA,HRADIS,NA,NA,in,NA,,,,,,,,,
