MAZ,MAZ,shrs1_2010,shrs2_2010,shrs3_2010,shs4_2010,gqpopu10,gqpopu15,gqpopu20,gqpopu25,gqpopu30,gqpopu35,gqpopu40,gqpopu45,gqpopu50,gqpopm10,gqpopm15,gqpopm20,gqpopm25,gqpopm30,gqpopm35,gqpopm40,gqpopm45,gqpopm50,gqpopo10,gqpopo15,gqpopo20,gqpopo25,gqpopo30,gqpopo35,gqpopo40,gqpopo45,gqpopo50
10143,10143,0.33333,0.43333,0.09333,0.14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10144,10144,0.91667,0.08333,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,10,11,11,12,13
10147,10147,0.15854,0.21220,0.18049,0.44878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6,7,7,7,8
10150,10150,0.34000,0.46000,0.12000,0.08000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10151,10151,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10153,10153,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157,10157,0.44800,0.27200,0.17600,0.10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10159,10159,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3
10160,10160,0.60839,0.25874,0.09091,0.04196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10161,10161,0.64286,0.22143,0.10714,0.02857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10162,10162,0.73256,0.22093,0.02907,0.01744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10163,10163,0.66292,0.24719,0.07865,0.01124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10164,10164,0.38333,0.33333,0.13333,0.15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10165,10165,0.51220,0.35772,0.08943,0.04065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10167,10167,0.56688,0.29936,0.12739,0.00637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10168,10168,0.26966,0.51685,0.12360,0.08989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10169,10169,0.52381,0.34921,0.12698,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10170,10170,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3
10172,10172,0.48370,0.36413,0.08152,0.07065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10173,10173,0.63636,0.32727,0.02727,0.00909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10179,10179,0.47097,0.40000,0.08387,0.04516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10180,10180,0.39286,0.39286,0.08929,0.12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10181,10181,0.47273,0.43636,0.05455,0.03636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10184,10184,0.17241,0.27586,0.20690,0.34483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10185,10185,0.15714,0.40000,0.31429,0.12857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10186,10186,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10187,10187,0.24000,0.16000,0.25333,0.34667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10190,10190,0.19048,0.22222,0.14286,0.44444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10192,10192,0.14706,0.14706,0.11765,0.58824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10193,10193,0.15217,0.30435,0.26087,0.28261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10194,10194,0.13158,0.34211,0.07895,0.44737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10195,10195,0.26316,0.31579,0.05263,0.36842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,26,27,29,30,32,34,36
10197,10197,0.17308,0.23077,0.23077,0.36538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10198,10198,0.19540,0.17241,0.24138,0.39080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10200,10200,0.56667,0.25556,0.15556,0.02222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10201,10201,0.15625,0.56250,0.15625,0.12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10202,10202,0.35065,0.36364,0.15584,0.12987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10203,10203,0.25000,0.25000,0.35000,0.15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10204,10204,0.20000,0.35000,0.17500,0.27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10206,10206,0.27083,0.22917,0.08333,0.41667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10207,10207,0.22222,0.38889,0.18519,0.20370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10208,10208,0.22727,0.15909,0.25000,0.36364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10209,10209,0.12500,0.26786,0.14286,0.46429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10210,10210,0.38857,0.36000,0.12571,0.12571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10211,10211,0.36170,0.30851,0.14894,0.18085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10212,10212,0.29167,0.32292,0.19792,0.18750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10213,10213,0.22034,0.27119,0.22034,0.28814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10214,10214,0.25301,0.33735,0.15663,0.25301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10215,10215,0.42857,0.31122,0.12755,0.13265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10218,10218,0.54930,0.39437,0.02817,0.02817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10219,10219,0.10751,0.22526,0.23891,0.42833,17,18,19,20,21,22,24,25,27,0,0,0,0,0,0,0,0,0,136,144,152,161,170,180,190,201,213
10222,10222,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,5
10223,10223,0.28169,0.30986,0.18310,0.22535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10224,10224,0.09434,0.30189,0.33962,0.26415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10225,10225,0.16667,0.30000,0.23333,0.30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10226,10226,0.19298,0.26316,0.24561,0.29825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10227,10227,0.22917,0.20833,0.22917,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10228,10228,0.33898,0.23729,0.18644,0.23729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10229,10229,0.20408,0.34694,0.12245,0.32653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10230,10230,0.21212,0.28788,0.27273,0.22727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10231,10231,0.12963,0.33333,0.20370,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10232,10232,0.04000,0.48000,0.20000,0.28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10233,10233,0.28571,0.50000,0.14286,0.07143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10234,10234,0.20833,0.33333,0.25000,0.20833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10235,10235,0.30303,0.36364,0.18182,0.15152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10236,10236,0.25641,0.28205,0.07692,0.38462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10241,10241,0.14286,0.14286,0.22857,0.48571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10242,10242,0.02222,0.06667,0.17778,0.73333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10247,10247,0.32143,0.33929,0.25000,0.08929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10248,10248,0.28571,0.38571,0.12857,0.20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
