County,Taz,Local Govt Jobs per TAZ pop,ed_k12 Jobs per TAZ pop,County Govt Jobs per County Pop,State Govt Jobs per Reg Pop,Federal Govt Jobs per Reg Pop,ed_high Jobs per Reg Pop
San Mateo,231,0.0086264,0.0125839,0,0,0,0
San Mateo,232,0.0086264,0.0101549,0,0,0,0.0000114
San Mateo,233,0.0086264,0.0101549,0.0000098,0,0,0.0000134
San Mateo,234,0.0086264,0.0101549,0.000014,0.0000065,0.0000099,0.0000085
San Mateo,235,0.0086264,0.0101549,0.0000224,0,0,0.0000056
San Mateo,236,0.0086264,0.0101549,0,0,0,0.0000079
San Mateo,237,0.0086264,0.0101549,0,0,0,0
San Mateo,238,0.0086264,0.0101549,0,0.0000116,0,0.0000063
San Mateo,239,0.0086264,0,0.0004476,0,0.0000185,0
San Mateo,240,0.0086264,0.0275823,0.0004196,0,0,0.0000056
San Mateo,241,0.0086264,0.0275823,0,0,0,0.0000056
San Mateo,242,0.0086264,0.0275823,0,0,0,0.0000071
San Mateo,243,0.0086264,0.0275823,0.000014,0,0,0.0000322
San Mateo,244,0.0086264,0.0275823,0.000049,0,0,0.0000092
San Mateo,245,0.0086264,0.0275823,0,0,0,0.0000233
San Mateo,246,0.0086264,0.0071421,0.0000224,0,0,0.0000049
San Mateo,247,0.0086264,0.0071421,0,0,0,0
San Mateo,248,0.0086264,0.0071421,0,0.0000071,0.0000051,0
San Mateo,249,0.0086264,0.0071421,0,0,0,0.0000204
San Mateo,250,0.0086264,0.0071421,0,0,0,0.0000042
San Mateo,251,0.0086264,0.0071421,0,0,0,0
San Mateo,252,0.0086264,0.0167249,0,0,0,0.0000193
San Mateo,253,0.0086264,0.0065574,0,0,0,0.0000042
San Mateo,254,0.0086264,0.0167249,0.0000224,0,0.0000021,0.0000063
San Mateo,255,0.0086264,0.0065574,0,0,0,0.0000254
San Mateo,256,0.0086264,0.0065574,0,0.0000007,0.0000014,0
San Mateo,257,0.0086264,0.0065574,0,0,0,0
San Mateo,258,0.0086264,0.0065574,0,0,0,0
San Mateo,259,0.0086264,0.0065574,0.0000224,0,0,0.0000123
San Mateo,260,0.0086264,0.0065574,0,0,0,0
San Mateo,261,0.0086264,0.0065574,0.0000266,0,0,0.0000048
San Mateo,262,0.0086264,0.0065574,0,0,0,0.0000056
San Mateo,263,0.0086264,0.0065574,0,0,0,0
San Mateo,264,0.0086264,0.0065574,0,0,0,0
San Mateo,265,0.0086264,0.0065574,0,0,0,0
San Mateo,266,0.0086264,0.0044958,0,0.0000165,0,0.0000073
San Mateo,267,0.0086264,0.0044958,0,0,0,0.0000056
San Mateo,268,0.0086264,0.0044958,0,0,0,0.0000063
San Mateo,269,0.0086264,0.0044958,0,0,0,0
San Mateo,270,0.0086264,0.0044958,0,0,0,0
San Mateo,271,0.0086264,0.0044958,0,0,0,0
San Mateo,272,0.0086264,0.0044958,0,0,0,0
San Mateo,273,0.0086264,0.0044958,0,0,0,0
San Mateo,274,0.0086264,0.0065574,0.0000308,0.0000423,0,0
San Mateo,275,0.0086264,0.0224448,0,0,0,0
San Mateo,276,0.0086264,0.0065574,0,0,0,0
San Mateo,277,0.0086264,0.0065574,0,0,0,0
San Mateo,278,0.0086264,0.0065574,0,0.0000007,0,0.0000071
San Mateo,279,0.0086264,0.0065574,0,0,0,0
San Mateo,280,0.0086264,0.0065574,0.0000168,0.0000006,0,0
San Mateo,281,0.0086264,0.0065574,0.0004406,0,0,0
San Mateo,282,0.0086264,0.0065574,0.0002448,0,0,0.0000021
San Mateo,283,0.0086264,0.0065574,0,0,0,0.0000176
San Mateo,284,0.0086264,0.0065574,0.0001986,0.0000001,0,0
San Mateo,285,0.0086264,0.0065574,0.0000014,0,0,0.0000071
San Mateo,286,0.0086264,0.0224448,0,0,0.0000014,0.0000049
San Mateo,287,0.0086264,0.0224448,0,0,0,0
San Mateo,288,0.0086264,0.0224448,0,0,0,0.0000747
San Mateo,289,0.0086264,0.0224448,0,0,0,0.0000028
San Mateo,290,0.0086264,0.0065574,0,0,0,0
San Mateo,291,0.0086264,0.0065574,0.0000713,0,0,0
San Mateo,292,0.0086264,0.0065574,0.0001077,0.0000071,0,0.0000071
San Mateo,293,0.0086264,0.0131258,0.00027,0,0,0.0000076
San Mateo,294,0.0086264,0.0131258,0,0,0,0.0000144
San Mateo,295,0.0086264,0.0220446,0,0.0000028,0,0.0000141
San Mateo,296,0.0086264,0.0220446,0.0000699,0.000001,0.0000003,0.0000259
San Mateo,297,0.0086264,0.0313048,0.0001049,0.0000063,0,0.0000176
San Mateo,298,0.0086264,0.005264,0.0000112,0,0,0.0000048
San Mateo,299,0.0086264,0.0120773,0.0001119,0.0000014,0,0.0000099
San Mateo,300,0.0086264,0.0120773,0,0,0,0
San Mateo,301,0.0086264,0.0117805,0,0,0,0.0000178
