TAZ,shrq1_2010,shrq2_2010,shrq3_2010,shrq4_2010,shrw0_2010,shrw1_2010,shrw2_2010,shrw3_2010,shra1_2010,shra2_2010,shra3_2010,shra4_2010,shrn_2010,shry_2010,qmn,qsd,wmn,wsd,amn,asd
700068,0,0.022090395,0.383531073,0.594378531,0.174887006,0.314067797,0.459661017,0.051384181,0.309591643,0.112060779,0.469135802,0.109211776,0.579661017,0.420338983," 105,974 "," 10,700,640 ", 1.40296 , 123 , 47 ," 6,818 "
700069,0.386367432,0.411607516,0.13131524,0.070709812,0.152738053,0.352366438,0.354224514,0.140670995,0.399512195,0.260487805,0.313658537,0.026341463,0.507265136,0.492734864," 43,662 "," 2,253,841 ", 1.52503 , 122 , 42 ," 8,300 "
700070,0.360702093,0.256215732,0.022380082,0.360702093,0.152724138,0.35237931,0.354241379,0.140655172,0.229024943,0.212018141,0.430839002,0.128117914,0.507275862,0.492724138," 63,818 "," 4,981,000 ", 1.52502 , 74 , 45 ," 4,961 "
700071,0.271739331,0.405800845,0.215575933,0.106883891,0.254852399,0.433265683,0.217527675,0.094354244,0.3042362,0.324133504,0.303594352,0.068035944,0.614151292,0.385848708," 52,944 "," 3,032,858 ", 1.17969 , 96 , 41 ," 5,572 "
700072,0.19553598,0.142369003,0.214407749,0.447687268,0.142946708,0.48315047,0.274655172,0.099247649,0.25081011,0.201555412,0.429034349,0.11860013,0.641489028,0.358510972," 82,453 "," 13,442,721 ", 1.35998 , 135 , 45 ," 8,573 "
700073,0.049661017,0.240273794,0.267118644,0.442946545,0.186597132,0.451473272,0.30243807,0.059491525,0.207792208,0.140151515,0.507575758,0.144480519,0.685032595,0.314967405," 88,295 "," 15,769,095 ", 1.25267 , 178 , 46 ," 13,359 "
700074,0.100562588,0.096315049,0.179887482,0.62323488,0.121279887,0.346104079,0.412053446,0.120562588,0.356816102,0.12168344,0.460201281,0.061299177,0.532025316,0.467974684," 98,138 "," 22,171,019 ", 1.56807 , 208 , 46 ," 13,976 "
700075,0.211477211,0.241700163,0.211477211,0.335345415,0.720093464,0.206915256,0.058178834,0.014812445,0.084668192,0.051106026,0.308161709,0.556064073,0.939485396,0.060514604," 72,885 "," 10,441,846 ", 0.37215 , 56 , 61 ," 21,788 "
700076,0.328451705,0.332443182,0.199474432,0.139630682,0.298607955,0.444900568,0.201207386,0.055284091,0.253985706,0.255085212,0.415063222,0.07586586,0.732982955,0.267017045," 53,299 "," 3,470,066 ", 1.02975 , 126 , 42 ," 9,675 "
700077,0.317745098,0.198823529,0.278745098,0.204686275,0.227019608,0.444980392,0.264627451,0.063372549,0.251239669,0.285950413,0.388429752,0.074380165,0.709019608,0.290980392," 61,599 "," 4,461,213 ", 1.18336 , 106 , 42 ," 5,912 "
700078,0.320558728,0.247395077,0.355398561,0.076647634,0.227032258,0.445,0.264612903,0.063354839,0.21574344,0.263848397,0.415451895,0.104956268,0.709032258,0.290967742," 53,954 "," 2,770,327 ", 1.18330 , 64 , 43 ," 3,616 "
700079,0.158381643,0.307681159,0.223985507,0.309951691,0.177101449,0.517222222,0.262487923,0.043188406,0.253448276,0.209482759,0.457758621,0.079310345,0.671570048,0.328429952," 72,884 "," 5,443,351 ", 1.18472 , 95 , 43 ," 7,073 "
700080,0.237130045,0.167780269,0.232668161,0.362421525,0.235201794,0.317533632,0.350246637,0.097017937,0.270833333,0.233333333,0.406666667,0.089166667,0.655089686,0.344910314," 75,023 "," 7,264,908 ", 1.33819 , 111 , 43 ," 6,115 "
700081,0.265503269,0.189491856,0.279018596,0.265986279,0.341762075,0.373264758,0.263157424,0.021815742,0.22304223,0.17097171,0.383763838,0.222222222,0.7,0.3," 68,079 "," 12,912,263 ", 0.97157 , 241 , 50 ," 15,687 "
700082,0.249317272,0.311194749,0.214738975,0.224749004,0.341757696,0.37326713,0.263157895,0.021817279,0.250642674,0.215938303,0.369323051,0.164095973,0.7,0.3," 63,016 "," 8,745,501 ", 0.97158 , 217 , 47 ," 11,648 "
700083,0.217712935,0.302578855,0.202952156,0.276756053,0.341758279,0.373266208,0.263159697,0.021815816,0.282608696,0.121483376,0.429667519,0.166240409,0.7,0.3," 67,712 "," 3,297,716 ", 0.97158 , 63 , 49 ," 4,842 "
700084,0.391169978,0.132693157,0.291147903,0.184988962,0.341766004,0.373267108,0.263156733,0.021810155,0.290562914,0.214403974,0.326986755,0.168046358,0.7,0.3," 58,254 "," 3,915,940 ", 0.97155 , 98 , 48 ," 5,395 "
700085,0.1375,0.4375,0.3375,0.0875,0.228852459,0.452213115,0.215983607,0.10295082,0.275510204,0.244897959,0.389212828,0.090379009,0.506065574,0.493934426," 59,688 "," 2,281,860 ", 1.22392 , 44 , 43 ," 3,274 "
700086,0.256258164,0.522173922,0.05779567,0.163772244,0.121991435,0.359678801,0.390042827,0.128286938,0.319300518,0.277849741,0.345207254,0.057642487,0.52117773,0.47882227," 52,437 "," 4,176,744 ", 1.56311 , 129 , 42 ," 6,493 "
700087,0.122871795,0.364410256,0.216102564,0.296615385,0.232871795,0.414,0.267897436,0.085230769,0.265486726,0.143362832,0.431858407,0.159292035,0.620564103,0.379435897," 72,607 "," 2,443,255 ", 1.23106 , 39 , 48 ," 3,426 "
700088,0.221842394,0.235490701,0.36347866,0.179188245,0.147095589,0.351488558,0.279343861,0.222071992,0.293696275,0.244269341,0.392550143,0.069484241,0.491709184,0.508290816," 65,402 "," 3,926,129 ", 1.64301 , 107 , 43 ," 6,871 "
700089,0.13258465,0.173487585,0.382900677,0.311027088,0.16537246,0.404311512,0.327990971,0.102325056,0.247398844,0.23583815,0.465895954,0.050867052,0.70231377,0.29768623," 79,306 "," 13,599,370 ", 1.39797 , 207 , 41 ," 16,737 "
700090,0.144038729,0.151178983,0.35247993,0.352302358,0.235196262,0.317542056,0.350252336,0.097009346,0.25084631,0.209884902,0.447190251,0.092078538,0.655084112,0.344915888," 81,200 "," 18,040,311 ", 1.33818 , 266 , 44 ," 17,304 "
700091,0.139242895,0.401897052,0.318039142,0.140820912,0.165368782,0.40432247,0.327993139,0.102315609,0.219395866,0.228139905,0.39745628,0.155007949,0.702315609,0.297684391," 63,220 "," 4,959,557 ", 1.39795 , 136 , 46 ," 6,653 "
700092,0.167137285,0.207285491,0.398689548,0.226887676,0.142418097,0.403868955,0.354017161,0.099695788,0.310223562,0.291384074,0.345892992,0.052499372,0.540577223,0.459422777," 72,091 "," 15,904,816 ", 1.44090 , 323 , 41 ," 17,183 "
700093,0.220450751,0.228430718,0.305108514,0.246010017,0.179432387,0.406227045,0.288480801,0.125859766,0.265706052,0.304322767,0.351585014,0.078386167,0.628480801,0.371519199," 68,746 "," 6,537,872 ", 1.39853 , 128 , 42 ," 7,373 "
700094,0.1297669,0.262097902,0.208648019,0.399487179,0.192657343,0.433822844,0.298531469,0.074988345,0.270542636,0.197674419,0.395348837,0.136434109,0.591841492,0.408158508," 80,369 "," 7,734,884 ", 1.27835 , 95 , 46 ," 6,555 "
700095,0.098286853,0.188047809,0.192310757,0.521354582,0.192637157,0.433841986,0.29853779,0.074983067,0.272277228,0.158415842,0.444306931,0.125,0.591832669,0.408167331," 90,491 "," 6,288,010 ", 1.27836 , 56 , 47 ," 4,800 "
