tract_ba,census_tract,prop_eq,prop_fire,shaking
201400,06055201400,1.55498E-05,2.55351E-13,7.448
200701,06055200701,0.000216534,3.17969E-13,9.3
200202,06055200202,0.000478634,-1.96039E-13,9.85
200501,06055200501,0.000368706,-5.32847E-13,9.675
200600,06055200600,0.000278211,-2.24242E-13,9.52
201200,06055201200,4.57479E-05,7.28957E-16,8.794736842
200502,06055200502,6.84936E-05,-2.32575E-16,9.3
060100,06075060100,0.002622319,0.001668744,6.6
025402,06075025402,0.004989586,2.50152E-12,6.8
025100,06075025100,0.006167717,-5.39279E-13,6.8
023001,06075023001,0.00925196,6.34533E-12,7.1
060900,06075060900,0.058310248,5.95922E-12,7
023103,06075023103,0.005529699,0.007623649,6.9
023101,06075023101,0.010073822,0.001632546,6.9
023002,06075023002,0.00936052,0.002107608,7.1
025401,06075025401,0.004472581,-8.46345E-13,6.6
025200,06075025200,0.004379381,5.67574E-13,6.6
025300,06075025300,0.003596866,-5.70542E-14,6.5
035300,06075035300,0.004466309,0.005517368,6.9
032900,06075032900,0.004523578,0.005314047,6.9
021700,06075021700,0.003611798,1.7708E-12,6.9
030600,06075030600,0.005331421,1.36357E-12,7.1
023400,06075023400,0.018100581,0.012355216,7.3
023300,06075023300,0.016270406,0.006181256,7.2
033201,06075033201,0.004122857,0.007301051,6.9
030900,06075030900,0.003706136,0.005528482,7
060400,06075060400,0.008137498,0.005613548,7.4
033100,06075033100,0.003797513,0.007302771,6.8
030700,06075030700,0.004389907,0.000286126,7
031000,06075031000,0.003810388,0.005047881,7.1
031200,06075031200,0.00360079,0.005936826,7.1
026002,06075026002,0.001756227,0.002045898,6.8
025600,06075025600,0.002981668,-1.26893E-12,6.8
026001,06075026001,0.001953858,0.003758822,6.8
025500,06075025500,0.002955283,0.002688738,7
021800,06075021800,0.002924233,-3.28756E-13,6.7
025403,06075025403,0.004335237,3.57632E-13,6.7
025700,06075025700,0.008465313,8.6352E-05,7
061000,06075061000,0.014143948,0.010058052,7.1
025900,06075025900,0.006443086,0.003516777,7
026402,06075026402,0.007067587,0.008727339,7.1
060501,06075060501,0.0040517,0.005377222,6.8
031300,06075031300,0.003773531,0.00133979,7.1
026200,06075026200,0.001971189,0.000529482,7
026301,06075026301,0.001957302,0.003758808,6.8
026302,06075026302,0.001859308,0.003524559,6.7
060502,06075060502,0.002254873,0.0005228,6.7
026004,06075026004,0.001957833,0.003758762,6.8
026003,06075026003,0.001874628,0.003759008,6.8
026401,06075026401,0.003744522,0.007515549,6.9
026403,06075026403,0.005091559,0.007838918,6.9
060600,06075060600,0.047080998,0.013748748,7.2
