household_id,building_id
1570461,1225469
1064554,200835
1379882,1776705
2574952,1704474
2378570,1309659
2182177,732646
726270,1399301
1989714,250561
2181834,1828793
2434580,1585415
1146649,866297
2434610,644336
2537727,1531880
819797,1402584
2182014,1618494
1379910,313468
1338645,132877
2141057,1477007
2140568,789010
2434662,544294
2255484,694071
2046513,65031
2043652,456641
1882519,625564
2046221,1256101
2255259,898382
2497947,1352519
2181817,143737
2378714,977136
1364850,1537084
2225152,926142
204290,483581
1286230,263339
634638,60327
2498013,1539235
2164594,184354
3459,1787333
634662,1646330
3346,495312
1286134,550112
2378576,477494
1962969,271483
106590,147309
36637,1811172
2568677,1656086
1929769,542384
1826967,1729763
2046455,899278
106609,814720
647448,1357242
557733,833065
485378,771035
2378524,987020
1627018,1608859
942487,1631699
2378393,980992
775799,781614
485185,937407
2140549,201276
1338147,1056999
2157559,1823201
2046290,357186
2378479,879282
1286273,221148
946138,270787
2362166,1288545
2140655,282269
2378541,1117195
106840,452772
1379932,223351
2046722,163263
1064552,739801
1701184,1539770
864581,23894
2434614,1081047
1163865,1256052
1380119,1809632
2378519,1815805
2046484,1261441
1172103,971590
1365194,1474057
1744771,207777
726287,723178
2378398,1733540
2554863,1470364
2434893,96532
413033,834418
2202884,1553574
660837,480043
2434485,493977
1701066,798076
819792,1672656
2255493,8769
2255249,353987
2047340,1592661
1902815,625440
1834866,899120
1172277,1261438
2046312,414598
2555193,501540
634643,286613
2248673,1209950
2574920,52870
2520783,131834
2596994,1168577
1496250,799669
1701089,853821
2378364,998047
36755,460172
1990539,206632
413041,314287
1929547,643365
1413203,1059140
2046167,371102
726569,906986
864595,1525659
1989962,1236918
1744740,1253215
1962862,1811655
1834377,1781213
1962430,462013
1213477,1564573
413022,1325290
69388,541468
1834900,1161533
1276838,661107
2497991,212610
2182012,1028303
1701162,207513
775797,1359109
106839,1418245
2378696,1650699
1834906,1538301
149923,688210
1876992,986858
912702,923655
1205057,1432530
1496089,1780245
864532,1818669
2378461,673827
1989854,243508
1496288,514676
1432395,1606081
1565983,211224
2255381,1452300
726399,878705
2046276,1612112
1064545,345854
2140537,855660
647516,1393715
1146648,1656319
1121728,370407
1496070,1632694
485469,1246391
1039848,857101
2378507,1784753
2555238,1839274
1039824,1609768
296133,1578223
2331049,499184
1990170,832630
2164620,587750
412436,238060
1523026,1660224
2307634,1586981
1379921,291255
1338178,200750
2434557,606546
2378993,927604
1338458,1539172
1039886,1013925
546563,381354
1205056,1671736
485542,383975
413308,1277813
106905,1843157
726420,777375
2289247,1704424
2551645,335488
2434303,415388
1902843,645627
1989964,587841
2331016,1516556
1990052,534947
1882512,1041334
1520647,545317
1172123,1218580
413182,635142
1989965,543706
413121,1024026
1286175,1351027
69393,6579
1988276,465744
1286057,12232
1365050,1579706
557636,1036359
2331052,10850
2140950,386729
726016,1285554
2207031,618007
2378307,1065387
1834785,1187689
2043634,1828676
2207075,923305
2232427,1002787
1529410,1619176
2537632,1587503
2577705,359530
2434487,1060615
1790135,974686
2434621,574698
647474,846007
2233317,709613
175141,1210244
1338812,571416
36460,120139
1652725,1609605
2307508,1438081
1039890,1432221
413069,603706
2378453,1198823
1431936,1467299
907875,1760126
1989720,324324
1973610,1790916
2378492,1272223
1584722,560695
1286486,1298110
2043592,394151
1834989,1583663
2434380,1562195
1882508,429539
1732407,81470
1989926,1146523
413131,1652155
2578059,343955
2554895,922396
1338766,542870
1744737,787863
2255267,1704294
1834389,485029
2046526,1356800
36715,1339722
1627034,837383
1929784,1809676
1923029,1342497
1834392,1665835
413063,382541
1496279,287312
1146538,723797
2577980,1261385
1744320,722079
1672657,1499405
557611,1585068
1496258,1532248
1432481,717979
1989864,565337
1163873,361983
2378283,1785123
1496319,1247084
726501,1584624
2233226,1080568
2555239,560765
1882501,483350
2307487,1828960
1902883,636260
1929813,618340
1990545,1253304
1380136,1499616
557577,570571
2046297,881700
2255225,230874
1146556,1557108
726403,1638080
2046095,592617
1338554,1565008
660672,925268
1790147,634925
2255235,1492824
1834998,1415886
1798860,1609409
357524,996295
1882499,1318323
149927,506208
2046523,672623
793321,962221
2592099,1182740
2331248,1800356
949314,1838139
1744705,1125264
2378290,1205479
1172128,751604
2578014,1348635
2255256,1790904
1652775,1653788
2043607,456433
2046501,655746
2569909,1789928
1496241,347592
819790,625529
1286072,1518576
2434472,1319198
2569976,642308
485397,260756
2255404,477265
726398,1080776
725940,419994
1834793,1263119
2046627,838804
3435,1285306
1286217,1017132
1121389,456153
2046726,955693
