x,y,apn
-122.190851974,37.841477664,Unincorporated Contra Costa-51552-2
-122.0000874,37.7601715674,Unincorporated Contra Costa-14277
-121.631997586,38.0165518493,Unincorporated Contra Costa-329193
-122.517177275,37.9436461209,Larkspur-2205018
-122.07490063,37.6038161249,Union City-463 010000100
-121.71939256,37.9268797923,Brentwood-121463
-121.764983041,37.9991891493,Antioch-287965
-121.90684702,37.7519136803,San Ramon-8486
-122.290213937,37.5637608258,San Mateo-35522540
-122.456071468,37.5094196694,Unincorporated San Mateo-47340290-1
-121.635727389,38.0179153191,Unincorporated Contra Costa-329998
-121.737750941,37.6905271483,Livermore-099A290605900
-121.697786463,37.9765896671,Oakley-232012
-122.206212883,37.8483512344,Oakland-048G746500400
-121.635277082,38.0162258285,Unincorporated Contra Costa-321336
-121.631605273,37.9854097389,Oakley-250923
-121.633746554,38.0189817136,Unincorporated Contra Costa-331508
-122.016389897,38.2151845624,Unincorporated Solano-46140060
-122.308602334,37.3283651103,Unincorporated San Mateo-82170010
-121.899224199,37.7488392871,San Ramon-6431
-121.631446962,38.0165229792,Unincorporated Contra Costa-329193
-121.614627467,37.9044209193,Unincorporated Contra Costa-84362
-122.144634496,37.7869296764,Oakland-040A346800803-2
-121.71898577,37.7217967096,Livermore-099B530100100-5
-122.050176297,38.2149758828,Unincorporated Solano-46290010
-122.316648507,37.324811017,Unincorporated San Mateo-82170040
-122.169094515,37.7923985617,Oakland-037A314199999-1
-121.895898883,37.7723383403,San Ramon-21131
-123.451204146,38.7101108265,Unincorporated Sonoma-156-100-002-1
-122.226681874,37.8653819229,Oakland-048H751500601
-121.737485298,37.930363278,Brentwood-129179
-122.731177182,37.9803388445,Unincorporated Marin-18803009-1
-122.961720215,38.5055943087,Unincorporated Sonoma-070-330-006-3
-121.727282977,37.901744034,Brentwood-84039
-121.975839989,37.7055093215,Dublin-941 283203700-1
-122.038382662,37.5724704991,Fremont-543 024716400
-121.947784869,37.7062633274,Dublin-941 277211300-2
-121.624705684,38.0130649528,Unincorporated Contra Costa-313770
-122.717091663,38.3527260738,Rohnert Park-143-040-107
-122.236050866,37.7297166799,Alameda-074 133804600
-122.218228105,37.84560524,Oakland-048H756604100
-122.465464548,37.6303095323,San Bruno-17080150-2
-122.026802677,38.223501712,Unincorporated Solano-46140090
-122.570245662,38.2100722083,Unincorporated Sonoma-019-350-001
-121.869972056,37.6966220367,Pleasanton-946 111110302
-122.234878043,37.866976445,Oakland-048H769503701
-122.235976301,37.4570611908,Redwood City-69071130
-121.936250083,37.5258443012,Fremont-513 070900600
-121.743147948,37.7093124821,Livermore-099 002710600-2
-122.505539588,37.7849526742,San Francisco-1313030-1
