zone_id,gid,tract,area,acres,tothh,hhpop,sfdu,mfdu,hhincq1,hhincq2,hhincq3,hhincq4,NEWdevacres,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn
844,165,430100.0,106731424.0,2450.216064453125,,,,,,,,,,,,,,,,
1125,359,321103.0,5225377.0,119.95800018310547,,,,,,,,,,,,,,,,
1176,426,355104.0,299986944.0,6886.751953125,,,,,,,,,,,,,,,,
1069,450,365001.0,12627087.0,289.87799072265625,,,,,,,,,,,,,,,,
416,1422,,3368754.0,77.33599853515625,,,,,,,,,,,,,,,,
1454,533,132100.0,42530976.0,976.3770141601562,,,,,,,,,,,,,,,,
933,60,405900.0,926999.125,21.2810001373291,,,,,,,,,,,,,,,,
648,963,503326.0,4301491.5,98.7490005493164,,,,,,,,,,,,,,,,
642,952,503312.0,15095415.0,346.5429992675781,,,,,,,,,,,,,,,,
563,929,503103.0,6472674.0,148.5919952392578,,,,,,,,,,,,,,,,
652,964,503327.0,1487752.75,34.15399932861328,,,,,,,,,,,,,,,,
417,1423,,958075.0,21.993999481201172,,,,,,,,,,,,,,,,
118,643,22901.0,252715.59375,5.802000045776367,1209.0,4412.0,185.0,1024.0,256.0,257.0,278.0,418.0,26.273864899132857,592.0,2.0,32.0,37.0,280.0,111.0,130.0
5,1380,,213322.6875,4.896999835968018,461.0,777.0,7.0,454.0,255.0,90.0,79.0,37.0,30.943264673724716,14930.0,17.0,737.0,3518.0,4182.0,4842.0,1634.0
822,212,436402.0,4361975.5,100.13700103759766,,,,,,,,,,,,,,,,
1249,1248,252305.0,47873648.0,1099.0279541015625,,,,,,,,,,,,,,,,
1382,1349,153005.0,24733500.0,567.802978515625,,,,,,,,,,,,,,,,
1375,1350,153006.0,3384436.0,77.69599914550781,,,,,,,,,,,,,,,,
1246,1211,250102.0,21090530.0,484.1719970703125,,,,,,,,,,,,,,,,
47,594,13500.0,226342.890625,5.196000099182129,1686.0,2854.0,133.0,1553.0,267.0,226.0,349.0,844.0,22.44175404564488,4544.0,8.0,81.0,261.0,648.0,3207.0,339.0
969,31,403100.0,345637.0625,7.934999942779541,,,,,,,,,,,,,,,,
605,995,504310.0,4601617.0,105.63899993896484,,,,,,,,,,,,,,,,
615,1013,504420.0,16967120.0,389.510986328125,,,,,,,,,,,,,,,,
1287,1286,253300.0,444768608.0,10210.482421875,,,,,,,,,,,,,,,,
762,261,441921.0,897430.1875,20.601999282836914,,,,,,,,,,,,,,,,
