juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Los Gatos,11915.0,2582.0,2495.0,2300.0,4538.0,9175.0,3492.0,19018.0,47.0,1607.0,1995.0,4755.0,7462.0,3152.0,0.940633141233,9256695.0,486.733357871
Menlo Park,12315.0,2034.0,2353.0,2349.0,5579.0,8167.0,4927.0,34567.0,117.0,5742.0,1308.0,12008.0,6430.0,8962.0,0.94050710249,19513245.0,564.505019238
San Carlos,13189.0,1960.0,2614.0,2864.0,5751.0,9103.0,4622.0,16261.0,41.0,4399.0,1788.0,4254.0,3091.0,2688.0,0.960947176685,11728244.0,721.249861632
Los Altos Hills,2866.0,234.0,262.0,392.0,1978.0,3105.0,0.0,1570.0,0.0,45.0,20.0,767.0,486.0,252.0,0.0,632600.0,402.929936306
Sausalito,4154.0,790.0,863.0,884.0,1617.0,1976.0,2551.0,5194.0,18.0,363.0,487.0,1955.0,1542.0,829.0,0.917605478242,3241134.0,624.015017328
Pacifica,13909.0,2004.0,3259.0,4428.0,4218.0,11358.0,3198.0,5925.0,7.0,410.0,932.0,1422.0,2058.0,1096.0,0.955550975543,3807688.0,642.647763713
Belmont,8789.0,1259.0,1863.0,2152.0,3515.0,7252.0,1962.0,7909.0,0.0,839.0,751.0,2013.0,3059.0,1247.0,0.953874538745,5064237.0,640.313187508
Tiburon,3606.0,491.0,682.0,640.0,1793.0,2720.0,1145.0,2845.0,29.0,109.0,137.0,1124.0,1140.0,306.0,0.93298835705,1542162.0,542.060456942
East Palo Alto,6940.0,2379.0,2058.0,1440.0,1063.0,4495.0,3076.0,5111.0,17.0,348.0,697.0,1632.0,2014.0,403.0,0.916655659754,3602495.0,704.851301115
Emeryville,5629.0,2187.0,1791.0,971.0,680.0,1428.0,3294.0,15852.0,3.0,2461.0,1658.0,5087.0,4205.0,2438.0,1.19207962728,13697657.0,864.096454706
Corte Madera,3884.0,699.0,994.0,889.0,1302.0,3014.0,1129.0,6633.0,3.0,459.0,1663.0,1185.0,2195.0,1128.0,0.937484914313,3975772.0,599.392733303
