zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
224,0.005,0.095,0.095,0.095,0.095,0.095
225,0.005,0.095,0.095,0.095,0.095,0.095
226,0.005,0.095,0.095,0.095,0.095,0.095
227,0.005,0.095,0.095,0.095,0.095,0.095
228,0.005,0.095,0.095,0.095,0.095,0.095
229,0.005,0.095,0.095,0.095,0.095,0.095
230,0.005,0.095,0.095,0.095,0.095,0.095
231,0.005,0.095,0.095,0.095,0.095,0.095
232,0.005,0.095,0.095,0.095,0.095,0.095
233,0.005,0.095,0.095,0.095,0.095,0.095
234,0.005,0.095,0.095,0.095,0.095,0.095
235,0.005,0.095,0.095,0.095,0.095,0.095
236,0.005,0.095,0.095,0.095,0.095,0.095
237,0.005,0.095,0.095,0.095,0.095,0.095
238,0.005,0.095,0.095,0.095,0.095,0.095
239,0.005,0.095,0.095,0.095,0.095,0.095
240,0.005,0.095,0.095,0.095,0.095,0.095
241,0.005,0.095,0.095,0.095,0.095,0.095
242,0.005,0.095,0.095,0.095,0.095,0.095
243,0.005,0.095,0.095,0.095,0.095,0.095
244,0.005,0.095,0.095,0.095,0.095,0.095
245,0.005,0.095,0.095,0.095,0.095,0.095
246,0.005,0.095,0.095,0.095,0.095,0.095
247,0.005,0.095,0.095,0.095,0.095,0.095
248,0.005,0.095,0.095,0.095,0.095,0.095
249,0.005,0.095,0.095,0.095,0.095,0.095
250,0.005,0.095,0.095,0.095,0.095,0.095
251,0.005,0.095,0.095,0.095,0.095,0.095
252,0.005,0.095,0.095,0.095,0.095,0.095
253,0.005,0.095,0.095,0.095,0.095,0.095
254,0.005,0.095,0.095,0.095,0.095,0.095
255,0.005,0.095,0.095,0.095,0.095,0.095
256,0.005,0.095,0.095,0.095,0.095,0.095
257,0.005,0.095,0.095,0.095,0.095,0.095
258,0.005,0.095,0.095,0.095,0.095,0.095
259,0.005,0.095,0.095,0.095,0.095,0.095
260,0.005,0.095,0.095,0.095,0.095,0.095
261,0.005,0.095,0.095,0.095,0.095,0.095
262,0.005,0.095,0.095,0.095,0.095,0.095
263,0.005,0.095,0.095,0.095,0.095,0.095
264,0.005,0.095,0.095,0.095,0.095,0.095
265,0.005,0.095,0.095,0.095,0.095,0.095
266,0.005,0.095,0.095,0.095,0.095,0.095
267,0.005,0.095,0.095,0.095,0.095,0.095
